N,lnPi(N),U(N)
190,-13.550267877937836,-3334.8384847282287
191,-14.338689871445377,-3357.79545934662
192,-15.154968258289864,-3381.0234595699076
193,-16.007139945391625,-3403.079349839092
194,-16.89334081600398,-3426.014633596882
195,-17.809890628176415,-3449.23838626792
196,-18.7548708660922,-3472.082957220402
197,-19.730656825030163,-3495.040171628818
198,-20.740568596729243,-3518.687495710932
199,-21.766243647445204,-3542.5595258298854
200,-22.82862382109155,-3566.0417970647977
201,-23.923336507128706,-3589.5624359109497
202,-25.0611482634267,-3612.952126158001
203,-26.232151935440495,-3636.9773862391958
204,-27.44491393795192,-3660.510886347569
205,-28.693679060597955,-3683.410913405969
206,-29.977729840470854,-3706.9955878029577
207,-31.29306432178731,-3730.8276934397873
208,-32.65030744811923,-3754.814993713924
209,-34.02749097133644,-3779.1295854665077
210,-35.44817168797493,-3802.8096921126125
211,-36.90247002274102,-3826.774332837529
212,-38.4019299202024,-3850.2896875915103
213,-39.93408838016196,-3874.8829652408385
214,-41.49909332823275,-3898.12913460446
215,-43.10426454242067,-3921.937664303412
216,-44.75480713853633,-3945.77349991769
217,-46.44748234909206,-3969.7246812436133
218,-48.17827491506866,-3992.320899117498
219,-49.968900671625725,-4014.719335740272
220,-51.78832119873638,-4038.5981002614935
221,-53.65561900282801,-4062.4700696364525
222,-55.558723709914794,-4087.477245553382
223,-57.49959070160454,-4113.838170771516
224,-59.466608887082735,-4140.131931469987
225,-61.468641688511944,-4164.557982612772
226,-63.52467260521768,-4188.485016487444
227,-65.62890081870944,-4211.843750691696
228,-67.78964300260756,-4236.792567850891
229,-70.00414396627377,-4259.953442320417
230,-72.27925747802095,-4283.515875997597
231,-74.60297823008031,-4306.763699913296
232,-76.9710323986321,-4330.693817739964
233,-79.38045608610287,-4356.72814582807
234,-81.84870552520127,-4381.571175734243
235,-84.34307159455031,-4404.820778268819
236,-86.89034194366991,-4429.08719146777
237,-89.49985428843976,-4452.458535980586
238,-92.14935799115483,-4476.828033396894
239,-94.84559559704556,-4501.108008365263
240,-97.60650545792333,-4524.652389063391
241,-100.39256884738546,-4550.167796826965
242,-103.24830147953381,-4575.319970662087
243,-106.13094950519479,-4599.890067835127
244,-109.09953478965102,-4623.92170137928
245,-112.12138684331356,-4647.49351696013
246,-115.19957972363613,-4673.169310997539
247,-118.35131107592633,-4694.695226951153
248,-121.57144039968128,-4716.594211603013
249,-124.86932395740538,-4739.9862764706195
250,-128.1997270406629,-4763.716145194849
251,-131.58288213710313,-4791.03003862896
252,-135.033904717173,-4817.532833235935
253,-138.53949007330232,-4838.794962006701
254,-142.10881704447885,-4862.991606013813
255,-145.73629922281293,-4887.22461044231
256,-149.40413365108552,-4911.853269525163
