N,lnPi(N),U(N)
59,-106.42577511155682,-2288.9057394700053
60,-107.35687466805386,-2332.3149600679
61,-108.24823680414431,-2374.757576980955
62,-109.13912342549634,-2416.045193941917
63,-110.05002062870766,-2456.7395978551876
64,-110.94472690548261,-2499.4081379666773
65,-111.82553740986033,-2542.2853610912325
66,-112.66635938769134,-2584.2925666760966
67,-113.50319308419057,-2626.27842254034
68,-114.3354642592482,-2668.4980054119073
69,-115.10690378223588,-2712.1550783210882
70,-115.88319640100838,-2755.861306046528
71,-116.56385810178554,-2799.3814264625044
72,-117.26970861909467,-2842.3355703719453
73,-117.95554387467794,-2884.3404674887774
74,-118.61707081232534,-2925.233666262735
75,-119.21357377869366,-2970.235314554729
76,-119.80051040768245,-3013.756560576699
77,-120.34936089009129,-3058.2083789089033
78,-120.85982392675555,-3104.5776031277815
79,-121.36320704742542,-3150.2791621139722
80,-121.82661156337785,-3193.3252009239454
81,-122.23234172094418,-3237.121176840011
82,-122.60334288581436,-3283.2655284373363
83,-122.92697088863186,-3331.974185868895
84,-123.17547147938362,-3378.304104903374
85,-123.49537229756737,-3421.7886863503886
86,-123.77744924621541,-3471.1976032821353
87,-124.02565843749966,-3519.661937348534
88,-124.28863586810438,-3568.9962613553166
89,-124.6017762554453,-3613.326560184565
90,-124.87731751680829,-3659.4797980210483
91,-125.14851028496298,-3708.1947466428583
92,-125.4013602113421,-3753.7233035603654
93,-125.60701318727178,-3801.2746500454996
94,-125.8168215219465,-3849.1264972019117
95,-126.01473776083871,-3896.3537415411797
96,-126.19945912793713,-3942.429215196647
97,-126.4138259373851,-3988.8468109285827
98,-126.67365081411164,-4038.245036792201
99,-126.87557818712942,-4082.507668516927
100,-127.07016586355526,-4126.479895882278
101,-127.32666283605077,-4171.766933164659
102,-127.56191153090114,-4218.343444320707
103,-127.79383552371942,-4262.477800301414
104,-127.99675216954702,-4306.939780939406
105,-128.27660191779015,-4352.892723028976
106,-128.50054420932537,-4400.682785994398
107,-128.734204846132,-4449.12158386078
108,-128.97606124837571,-4492.092195978009
109,-129.19267058961069,-4535.662630831643
110,-129.4385622427228,-4582.919577652186
111,-129.6868210198208,-4630.210875643121
112,-129.90059914118302,-4677.651308525276
113,-130.11057726173087,-4723.430902619264
114,-130.35350321214148,-4771.474309197861
115,-130.5735274902423,-4818.0156574136845
116,-130.85764765288218,-4862.776525849609
117,-131.10241593205754,-4909.063181257787
118,-131.36534117468236,-4955.4900248310605
119,-131.60980301278434,-5003.272916338261
120,-131.82844420385135,-5051.088369188289
121,-132.09292444947047,-5096.393462400053
122,-132.38655665461164,-5143.228084085568
123,-132.64292867482612,-5189.555324967899
124,-132.8857453692541,-5235.1203860399355
125,-133.1337559816903,-5279.902745135816
126,-133.3594458871923,-5325.032805276237
127,-133.58111312170814,-5370.23990485051
128,-133.77510100750868,-5418.159378193643
129,-133.98948405711062,-5464.098938725374
130,-134.17692715052885,-5508.434268516761
131,-134.42287371274577,-5555.327668393851
132,-134.66687621995754,-5600.1970941308655
133,-134.8811969348448,-5643.691050143326
134,-135.07720518622088,-5684.852789986794
135,-135.31619162209162,-5728.32086830234
136,-135.5706348081279,-5773.746194273796
137,-135.80527565676843,-5816.2907299860335
138,-136.0210525215526,-5852.556683684196
139,-136.1781136663736,-5897.8891306237965
140,-136.31720830765985,-5941.630207609318
141,-136.40503426488988,-5989.148188420346
142,-136.49151773129728,-6031.877198167113
143,-136.5540966795423,-6076.548923011408
144,-136.57470465017244,-6117.975817787407
145,-136.60007549395283,-6159.4567598106805
146,-136.58873403396865,-6203.770718987988
147,-136.52650114988023,-6248.580411473768
148,-136.46856701044194,-6291.632480640487
149,-136.3818308393761,-6337.097161855278
150,-136.23459156553307,-6382.2512387368815
151,-136.0989455754385,-6426.88971432016
152,-135.9305542076018,-6470.980223331165
153,-135.73487610211308,-6517.168964732501
154,-135.51113275639656,-6565.060190522292
155,-135.2751143684867,-6610.982881408803
156,-135.04297574213265,-6657.825994139145
157,-134.79794051910912,-6704.478060533447
158,-134.53759366100593,-6751.55650545743
159,-134.2409675009632,-6800.638738377337
160,-133.93012325850313,-6848.283376312831
161,-133.6274245511632,-6893.453477900737
162,-133.27161306746942,-6943.801087118721
163,-132.9311157849453,-6989.187923332704
164,-132.57235862452424,-7037.075807175192
165,-132.19665736357126,-7086.2924584981465
166,-131.82487343395758,-7135.901223528601
167,-131.4593690963255,-7181.312089610279
168,-131.08652279908165,-7229.396947829921
169,-130.7031433704895,-7278.44423264607
170,-130.30310074944623,-7328.164746739422
171,-129.87729995632708,-7376.581147037122
172,-129.46338410482508,-7424.699750589421
173,-129.02548989907288,-7473.017732929506
174,-128.5767320914472,-7519.696422565615
175,-128.13577920422563,-7566.7991507715715
176,-127.66369364382535,-7613.564067961621
177,-127.20682841555711,-7660.729103242797
178,-126.7201180137923,-7709.265366258671
179,-126.21949593406514,-7757.600364025877
180,-125.70084665931415,-7807.177901328839
181,-125.21156992497862,-7854.063241936283
182,-124.66184678042222,-7902.546016334185
183,-124.14850493179546,-7948.762564720688
184,-123.6167662395299,-7996.679173955795
185,-123.07006354291046,-8045.601792808557
186,-122.50553052819004,-8091.819334359965
187,-121.89193838864378,-8139.319403424486
