p (bar),y_CO2,rho (mol/l),rho_unc (mol/l),lnZ_N2,lnZ_N2_unc,lnZ_CO2,lnZ_CO2_unc
0.01,0.5,0.0003436407270416039,3.430062234813384e-14,-16.081646988753686,0.001943653818422656,-16.082620816420082,0.001956781213576275
0.02,0.5,0.0006872922670685777,1.6989674987272206e-14,-15.388502158188357,0.001938268019773765,-15.389502840708953,0.0019521190212431706
0.03,0.5,0.001030954558939738,2.553379461761989e-14,-14.983039369492996,0.0019328725658814072,-14.984066908126195,0.001947438598095943
0.04,0.5,0.001374627541713532,3.148231131770689e-16,-14.695359585909115,0.0019274677145277323,-14.69641398193313,0.0019427402472244077
0.05,0.5,0.0017183111546601637,3.992309498515581e-13,-14.472218292954416,0.0019220537266485423,-14.473299547666901,0.0019380242743482212
0.06,0.5,0.002062005337237387,8.484358855477874e-16,-14.28989896406517,0.001916630854278934,-14.291007078782872,0.001933290977741978
0.07,0.5,0.0024057100291669637,5.1914315554856825e-14,-14.135750481719043,0.001911199353178751,-14.136885457777453,0.0019285406564905482
0.08,0.5,0.002749425170376752,3.602071988957436e-14,-14.002221256199848,0.0019057594753088664,-14.003383094952842,0.0019237736076126906
0.09,0.5,0.0030931507010395183,1.4740175104331704e-14,-13.884440357318912,0.0019003114671885498,-13.885629060138424,0.0019189901214308445
0.1,0.5,0.003436886561573779,9.165260517863468e-15,-13.779081948154369,0.001894855575967343,-13.780297516430046,0.0019141904893291866
0.2,0.5,0.006874800393874407,1.3303260870469477e-13,-13.085954178296145,0.0018399156426478992,-13.087438481231294,0.001865368141749618
0.3,0.5,0.01031368378099142,1.8306687139658666e-14,-12.680505513797895,0.0017844417811338372,-12.682258707527339,0.001815231678065973
0.4,0.5,0.013753482241171209,5.560224251086756e-14,-12.392836984182825,0.0017286451087499262,-12.39485923770253,0.0017640309495782585
0.5,0.5,0.017194144998409173,6.575471610325509e-13,-12.16970415044132,0.0016727180771081804,-12.17199564315044,0.001711993540862513
0.6,0.5,0.020635625307358865,3.029075234452579e-14,-11.987390568950614,0.0016168364290664373,-11.989951488527648,0.0016593264438161406
0.7,0.5,0.02407788065359725,8.411696387380721e-13,-11.833245211108315,0.0015611610127627892,-11.836075751679441,0.00160621765312562
0.8,0.5,0.027520872848497985,1.7318865202573727e-13,-11.6997165807069,0.0015058394870065197,-11.702816941269454,0.0015528376944570596
0.9,0.5,0.030964568036530925,2.42645334546033e-12,-11.581933844463645,0.0014510078910491212,-11.585304227532115,0.0014993410498072182
1.0,0.5,0.03440893662979178,2.064469035853126e-14,-11.47657126470039,0.0013967921359743605,-11.480211875146141,0.0014458675247590663
2.0,0.5,0.06888584486281074,3.1098403392012384e-14,-10.783295402669319,0.0009115355710451299,-10.78964952278959,0.0009350078024717546
3.0,0.5,0.1034211391948805,1.4619186108296188e-14,-10.37756761209922,0.0005958313930116723,-10.386654071356157,0.000513435026754238
4.0,0.5,0.13802076977652558,1.932645097059261e-14,-10.089554586227075,0.0005250990704744271,-10.101388892521342,0.00025801496899744385
5.0,0.5,0.17268974461383757,5.289306120758037e-14,-9.866048081578269,0.0006219825007794779,-9.880642308550769,0.00031352808738715316
6.0,0.5,0.20742687549944644,5.711743796715482e-15,-9.683347285742656,0.0007488422017318247,-9.700710378323663,0.0004863969618366061
7.0,0.5,0.24222624113635047,6.315156097476337e-14,-9.528805481586307,0.0008561577613102697,-9.54894367513213,0.0006419380520764557
8.0,0.5,0.27708039701730414,3.9748390498535966e-14,-9.394870545745851,0.0009373432575952835,-9.417787863718601,0.000767428273091505
9.0,0.5,0.3119828748381399,1.3750859627753038e-14,-9.276669647941402,0.0009967691378119196,-9.30236845794247,0.000866221720928005
10.0,0.5,0.3469293919351136,1.2102693058251256e-14,-9.170875318599105,0.0010407036863177529,-9.19935690624591,0.0009432761245546526
0.01,0.0004,0.0003436370871246562,3.6335870135355184e-16,-15.388902716987051,0.0019433778121775182,-23.213511170464542,0.001957361107366056
0.02,0.0004,0.0006872777061548471,1.7891065149343894e-14,-14.695760715120192,0.001937720597255225,-22.52038472073077,0.0019532612879154337
0.03,0.0004,0.0010309217941237455,0.0,-14.290300755069246,0.0019320582439496651,-22.114940316224978,0.00194912594892784
0.04,0.0004,0.0013745692883154494,1.236628806965947e-14,-14.002623800098782,0.0019263909454686134,-21.82727892008494,0.001944955633449168
0.05,0.0004,0.0017182201262714587,1.6395192014741923e-14,-13.779485335751787,0.0019207188947999024,-21.604156017729103,0.0019407508810337165
0.06,0.0004,0.002061874245798847,6.314771282696189e-15,-13.59716883547365,0.0019150422826544268,-21.421855082480352,0.0019365122261836352
0.07,0.0004,0.0024055315849784587,1.0643840802814044e-14,-13.443023181774166,0.0019093612980541608,-21.267724996727935,0.0019322401998733577
0.08,0.0004,0.002749192082169647,7.373645832755159e-15,-13.309496784954494,0.0019036761281157944,-21.13421417065485,0.0019279353279993596
0.09,0.0004,0.0030928556760195475,4.814019284260294e-15,-13.191718714845742,0.0018979869585098352,-21.0164516739759,0.001923598132222419
0.1,0.0004,0.003436522305468319,8.274732445905697e-15,-13.08636313454527,0.0018922939732846037,-20.91111166967397,0.0019192291305570926
0.2,0.0004,0.00687334234714376,4.6441531041045614e-15,-12.39326366250266,0.0018351935444094539,-20.21816807516618,0.0018739007581802805
0.3,0.0004,0.010310401190322189,6.739613491738482e-15,-11.987843324390981,0.0017779019022731905,-19.81290375990947,0.0018259313836898098
0.4,0.0004,0.013747643474337275,4.060007290677793e-15,-11.700203164515273,0.0017205773876756885,-19.52541968377501,0.001775774545829188
0.5,0.0004,0.01718501779520276,1.0470191794442347e-14,-11.47709875607281,0.0016633645302325572,-19.302471351014855,0.0017238488627763899
0.6,0.0004,0.0206224769538928,9.676135611942156e-16,-11.294813665365776,0.0016063953287114153,-19.120342272609726,0.0016705410668473929
0.7,0.0004,0.024059978091377686,9.676135611942156e-16,-11.14069687170747,0.0015497904620986782,-18.966381384483732,0.0016162088968420907
0.8,0.0004,0.027497482729135887,7.495102416139295e-16,-11.007196885034483,0.001493660431613831,-18.833037163584297,0.001561183854421239
0.9,0.0004,0.030934956731656905,6.35686843933199e-14,-10.889442876663066,0.0014381066373202124,-18.715438757253374,0.0015057738298933391
1.0,0.0004,0.03437237020545579,6.842061106884942e-16,-10.784109112160149,0.0013832223951924843,-18.61026041485068,0.0014502656203791468
2.0,0.0004,0.06873923864502053,1.0617326916807122e-14,-10.091126268825168,0.000887784683384471,-17.91882195041837,0.0009423233485933135
3.0,0.0004,0.1030901779846792,2.4478901985923495e-15,-9.685698826186156,0.000536209914883268,-17.51492952594288,0.0006568977368484565
4.0,0.0004,0.13742996541269686,7.719376018109106e-15,-9.397990620006722,0.00040840731546380884,-17.22875987622982,0.0006726823068685269
5.0,0.0004,0.1717629561483421,4.876021408827032e-14,-9.174791398899199,0.0004828109139918772,-17.007107663161364,0.0008234731986267163
6.0,0.0004,0.2060880932783828,2.6383769926902583e-13,-8.99239939211775,0.0006080657948282092,-16.826268847367707,0.0009753886917446566
7.0,0.0004,0.2404000006177148,4.6873528658867225e-15,-8.838167497562043,0.0007198002585674897,-16.673591253904014,0.0010959546807963072
8.0,0.0004,0.2746916863182847,4.450390349405195e-13,-8.704543367480015,0.0008088490599345265,-16.54151807001282,0.0011829757972738864
