p (bar),y_CO2,rho (mol/l),rho_unc (mol/l),lnZ_N2,lnZ_N2_unc,lnZ_CO2,lnZ_CO2_unc
0.01,0.5,0.0003006835801382321,2.2142585409399382e-13,-16.21588568493441,0.0010734471851943856,-16.216733079348707,0.000834310358873763
0.02,0.5,0.0006013725220471733,4.632400130501797e-14,-15.522738391470503,0.001074736751670168,-15.523603901528936,0.0008322032373080897
0.03,0.5,0.0009020667909408087,1.7388561329017819e-13,-15.117273147258198,0.0010761200632513665,-15.118156780435152,0.00083026790859901
0.04,0.5,0.0012027663521886472,4.1440544718500626e-16,-14.829590915594885,0.0010775952335939129,-14.83049267930619,0.000828503475185526
0.05,0.5,0.0015034711713479663,1.0716775550638831e-13,-14.60644718203352,0.0010791603501614916,-14.607367083636827,0.0008269089100360223
0.06,0.5,0.0018041812141392358,4.9461126630429494e-15,-14.424125420039013,0.0010808135164988076,-14.425063466834164,0.0008254830955788623
0.07,0.5,0.002104896446465766,1.8573186421574438e-14,-14.269974512133967,0.0010825528326889294,-14.270930711363368,0.0008242248093413611
0.08,0.5,0.002405616834401783,1.4632289310222742e-14,-14.136442868633491,0.0010843764062427536,-14.137417227482478,0.0008231327299422227
0.09,0.5,0.0027063423442028117,2.661464984360985e-13,-14.018659559379717,0.0010862823529801584,-14.019652084976915,0.0008222054407655571
0.1,0.5,0.003007072942289468,9.809531289856858e-15,-13.913298747484182,0.0010882687857672944,-13.914309446901871,0.000821441419844278
0.2,0.5,0.006014651521145407,7.946699052368953e-13,-13.220147376316255,0.0011121546681827838,-13.221340190772686,0.0008223861546576133
0.3,0.5,0.009022703334564234,1.9672495657819483e-14,-12.814675898542525,0.0011421217738821242,-12.81605147589126,0.0008374136247556209
0.4,0.5,0.012031197804037354,5.0532480177104627e-14,-12.526985353832334,0.001176565331447433,-12.52854429122799,0.0008640081880823159
0.5,0.5,0.015040106201012315,6.724740216831857e-15,-12.303831303037835,0.001214107308383314,-12.305574150116538,0.0008995471663278252
0.6,0.5,0.01804940165601602,4.174890907181913e-14,-12.1214972936997,0.0012536022279365374,-12.123424555582051,0.0009416019537608572
0.7,0.5,0.021059059152603275,4.959212233409631e-14,-11.967332281111512,0.0012941210111101966,-11.969444421240446,0.000988095561290633
0.8,0.5,0.024069055508278148,4.038246061139285e-14,-11.833784746958795,0.001334924416347645,-11.836082189783443,0.0010373432824954873
0.9,0.5,0.027079369344239733,8.328883449585762e-13,-11.715983830983912,0.0013754336417104007,-11.71846696449937,0.0010880254101724004
1.0,0.5,0.0300899810455992,2.2045279443819282e-13,-11.610603764658588,0.001415202274839182,-11.613272942810386,0.0011391318583452513
2.0,0.5,0.06020931466438474,4.541912503767391e-13,-10.917183083728428,0.0017293756472791563,-10.921726168020077,0.0015753035509514567
3.0,0.5,0.09034758372317044,1.94423720758809e-14,-10.511340205850123,0.0018805855050338606,-10.517768828792246,0.001817038483670827
4.0,0.5,0.12050407750468205,6.566652715992538e-13,-10.223216933647777,0.00192118817761759,-10.231533238444072,0.0019135848007014985
5.0,0.5,0.15068178298548607,5.599316594443805e-14,-9.999595382404422,0.0019040073573063602,-10.009798816401323,0.0019288437189186299
6.0,0.5,0.1808836181615109,3.546391338878395e-14,-9.816775017210457,0.0018633511240160956,-9.828865331518466,0.001907512890571546
7.0,0.5,0.2111109391463254,5.529920673241174e-14,-9.662113528674098,0.0018186811183769625,-9.676091641450084,0.0018762305007303608
8.0,0.5,0.24136355374798565,1.0701259661007165e-14,-9.528063737253001,0.0017802006556911624,-9.543931591705796,0.0018490695561029712
9.0,0.5,0.27164039065276924,1.6400661353342685e-14,-9.409756708842892,0.0017527484592789505,-9.427516803825455,0.0018322694790631078
10.0,0.5,0.30194020966378865,1.253506759344458e-14,-9.303867451649923,0.0017379970917285551,-9.323522384783004,0.001827461143578415
0.01,0.0004,0.00030068144913422554,3.588431805927971e-16,-15.52314054923625,0.0010730086839042718,-23.347626021956184,0.0008355623405289028
0.02,0.0004,0.0006013639930415092,5.892716223674274e-14,-14.829995220269907,0.0010738588348676527,-22.654490958446843,0.0008347276945384663
0.03,0.0004,0.0009020475895282807,0.0,-14.424531940238758,0.0010748020520251881,-22.249037953648802,0.0008340840731424757
0.04,0.0004,0.0012027321966943838,2.854630409074913e-14,-14.136851672436325,0.0010758366225867354,-21.961367970756726,0.0008336292478533995
0.05,0.0004,0.0015034177729436452,3.47933271518731e-16,-13.913709902425175,0.001076960832230549,-21.738236495235213,0.0008333608801893203
0.06,0.0004,0.0018041042769749668,0.0,-13.731390103672622,0.0010781729595161864,-21.555927000454677,0.0008332765187523334
0.07,0.0004,0.0021047916677866246,3.748715630754722e-14,-13.57724115870824,0.0010794712841595902,-21.40178836884834,0.0008333736128640935
0.08,0.0004,0.00240547990467188,0.0,-13.44371147785213,0.00108085408572754,-21.268269010641028,0.0008336495139267893
0.09,0.0004,0.002706168947222698,1.7754905048397292e-14,-13.325930130952484,0.0010823196440601873,-21.150497995586512,0.0008341014818505062
0.1,0.0004,0.0030068587553244795,1.2501339253924262e-14,-13.22057128112335,0.001083866241450306,-21.04514948670524,0.000834726690389986
0.2,0.0004,0.006013790326612621,8.135134249195073e-15,-12.52743951603042,0.0011034156303344263,-20.35212161171656,0.0008498367460359882
0.3,0.0004,0.009020756495147123,1.1811669129887816e-14,-12.121987621237794,0.0011292396229412422,-19.946774420225097,0.0008787673560737944
0.4,0.0004,0.012027721907465289,3.059862748240437e-16,-11.834316641073876,0.0011598118186457649,-19.659208875640687,0.0009182205568704602
0.5,0.0004,0.015034653990021626,5.747150320025349e-16,-11.61118214070718,0.0011937929435197068,-19.436180469120764,0.0009651830364916131
0.6,0.0004,0.01804152285525048,5.138687013952955e-14,-11.428867671675814,0.0012300479075185954,-19.25397268451347,0.0010171356893435505
0.7,0.0004,0.02104830120059998,8.159633995307831e-16,-11.274722192967026,0.001267639668925644,-19.099934418903985,0.0010720908503520782
0.8,0.0004,0.02405496420195865,1.2739224492090233e-15,-11.141194189672703,0.0013058103455822136,-18.966514100779577,0.0011285375679910192
0.9,0.0004,0.027061489402806234,6.842061106884942e-16,-11.023412804668752,0.0013439571260054656,-18.848840821261437,0.0011853552569515355
1.0,0.0004,0.03006785660023943,2.0012947516425364e-15,-10.918052272301171,0.001381607622746261,-18.74358876738154,0.0012417277304275986
