p (bar),y_CO2,rho (mol/l),rho_unc (mol/l),lnZ_N2,lnZ_N2_unc,lnZ_CO2,lnZ_CO2_unc
0.8,0.1,0.032089386168748436,2.645262701595418e-14,-10.959548775458096,0.001913590748168753,-13.160013701237506,0.0020256385461419886
0.9,0.1,0.03610247017499436,6.5777165067058144e-15,-10.841803356205013,0.0019268356220862861,-13.042537876521067,0.0020292393042269236
1.0,0.1,0.04011589323419117,1.3198854310444785e-14,-10.736479070821105,0.0019405686790463232,-12.937483605420493,0.002033618713287676
2.0,0.1,0.08026566642728145,1.9244458289055434e-15,-10.043631075226784,0.00204604593076134,-12.247350730295143,0.0020676796492908175
3.0,0.1,0.12043921811932504,3.8704542447768624e-15,-9.638383814805927,0.0020598251882912133,-11.84482722000211,0.0020522409469082466
4.0,0.1,0.16063542213555526,1.6124312177283146e-14,-9.35087109661177,0.002015284537842723,-11.560033776275072,0.0020081224610530553
5.0,0.1,0.20085460174049016,3.0530554811915318e-15,-9.127866694447132,0.0019469110573820982,-11.33974327629242,0.001953553345656727
6.0,0.1,0.24109600908571271,5.1606056597024835e-15,-8.945663439770358,0.001873969049516185,-11.160253021674373,0.001897055792845596
7.0,0.1,0.28135749274511485,1.43665181413552e-14,-8.791614672544021,0.0018055930853689108,-11.00892137080081,0.0018430424671385993
8.0,0.1,0.32163588009891364,5.996081932911436e-15,-8.65817076441823,0.0017449083056381277,-10.87820193729087,0.001793300906463999
9.0,0.1,0.3619277128118055,9.791560794369398e-15,-8.540461611706409,0.0016913776277048887,-10.763225580116629,0.0017471306800838575
10.0,0.1,0.4022301358439078,5.4124888778129265e-15,-8.435161849924375,0.0016423573034996973,-10.66066608083207,0.0017018631752679506
0.01,0.5,0.00040091642199817644,0.0,-15.929003580728725,0.0019246391386435744,-15.930148721779798,0.00211297754024897
0.02,0.5,0.0008018499627448167,4.681247310153709e-14,-15.23585716639911,0.0019217805530297842,-15.237043520106887,0.0021092105888283414
0.03,0.5,0.0012028005850194495,9.452423142159752e-14,-14.830392802781859,0.001919031891395284,-14.831620380543605,0.0021055592912696142
0.04,0.5,0.0016037682519003502,9.94527784411407e-14,-14.542711453181582,0.0019163912394956355,-14.54398026632462,0.00210202158648218
0.05,0.5,0.002004752926758527,3.859019387210221e-15,-14.31956860318042,0.0019138566909872791,-14.320878662962128,0.00209859542560345
0.06,0.5,0.0024057545732643726,6.022031803641493e-14,-14.137247726257748,0.0019114263586813723,-14.138599043865556,0.0020952787893223127
0.07,0.5,0.0028067731553648007,9.116142984194626e-14,-13.983097704962221,0.0019090983553302567,-13.984490291513612,0.0020920696649038588
