N,lnPi(N),U(N)
0,-1894.8374862609473,0.0
1,-1883.3049196518189,-15.264684105993192
2,-1872.550072709866,-30.526512128462386
3,-1862.2933584589205,-45.793661208703575
4,-1852.3026297681995,-61.04076669505119
5,-1842.549581229937,-76.29419812166712
6,-1832.950611498243,-91.54363656279165
7,-1823.6560247415869,-106.74552162898874
8,-1814.4055647743496,-121.96085600236695
9,-1805.2756323441274,-137.13059486373817
10,-1796.3593043471321,-152.3303187536216
11,-1787.5076117040196,-167.50817632560515
12,-1778.6763419850458,-182.71930228982185
13,-1769.9396628275442,-197.92366498093378
14,-1761.2911952265345,-213.07035819032563
15,-1752.6928531051162,-228.25383494392628
16,-1744.1750226379836,-243.40506281735517
17,-1735.7302395801455,-258.54670370929057
18,-1727.4094091338627,-273.6354378673095
19,-1719.1848884009917,-288.6876804056133
20,-1710.9634135526917,-303.80365165944266
21,-1702.7826446751494,-318.9037350152763
22,-1694.6966708010448,-334.00881477599273
23,-1686.7270553024516,-349.0511894730555
24,-1678.7537226218392,-364.1138507670858
25,-1670.8039498772562,-379.19444057262797
26,-1662.9449489917201,-394.23308144160166
27,-1655.1318542644447,-409.22080875551075
28,-1647.3204495408838,-424.21680796374443
29,-1639.5884278528927,-439.21173254453817
30,-1631.9400342869455,-454.13808573039995
31,-1624.2811490563633,-469.1537406914244
32,-1616.7079019480682,-484.21316967460353
33,-1609.1919412356265,-499.23329377567626
34,-1601.6904346572367,-514.245171496159
35,-1594.2271434967254,-529.2053918285205
36,-1586.767388821431,-544.1966812432964
37,-1579.405727779043,-559.1447676582303
38,-1572.0476723458835,-574.0633344916941
39,-1564.7037088900531,-588.8113382890958
40,-1557.4148395402015,-603.6249610439629
41,-1550.1754823930355,-618.3635531620007
42,-1542.974005464849,-633.1315825716722
43,-1535.821068115544,-647.9141731278855
44,-1528.709446518405,-662.7280424933628
45,-1521.5896813069157,-677.4686792053957
46,-1514.5194751270471,-692.2526185165467
47,-1507.4736471172928,-706.97692990967
48,-1500.5147800126506,-721.8187283523242
49,-1493.5506136855245,-736.6092999864104
50,-1486.6504004273522,-751.5275654301828
51,-1479.7205836071396,-766.087589589102
52,-1472.856912746456,-780.6902989338711
53,-1466.0123218511449,-795.3351038015733
54,-1459.2252005376668,-810.0718827883248
55,-1452.471738988051,-824.7827753617911
56,-1445.7396492849596,-839.3759567075972
57,-1439.0137296853975,-853.9378721033917
58,-1432.3718480174614,-868.3492989024568
59,-1425.710935209711,-883.208778430416
60,-1419.0837310083732,-897.7592387429028
61,-1412.485569982059,-912.4017220137614
62,-1405.9510530639247,-927.087268935069
63,-1399.4101134465493,-941.740563913402
64,-1392.929242742927,-956.3613386800545
65,-1386.461822422521,-970.6198732690589
66,-1380.0400998190328,-985.0760564010066
67,-1373.6052286879028,-999.530247744678
68,-1367.2296743184716,-1014.0803233509833
69,-1360.8625898057383,-1028.4088194899064
70,-1354.558112714603,-1042.9624025893695
71,-1348.255238846754,-1057.3813655909178
72,-1341.9721112161526,-1071.8406816346383
73,-1335.713520586597,-1086.064277438059
74,-1329.4841971920862,-1100.5056630922666
75,-1323.2726257933875,-1114.75072709557
76,-1317.1126084317846,-1128.8503515766774
77,-1310.9443227262261,-1143.2410575981762
78,-1304.7814967579934,-1157.5009717199478
79,-1298.6947172384255,-1171.676630156594
80,-1292.6279744765257,-1185.9015701788862
81,-1286.5756461797262,-1200.2450501863364
82,-1280.557154966954,-1214.460298373339
83,-1274.5382434884243,-1228.959993206222
84,-1268.52620579228,-1243.0397304240125
85,-1262.576579301254,-1257.2465661460217
86,-1256.6140710103111,-1271.3890748019458
87,-1250.702521489972,-1285.6142788884397
88,-1244.81371010017,-1299.7192499305565
89,-1238.93675788324,-1313.9537546806262
90,-1233.099309923322,-1328.3176442891734
91,-1227.298770594986,-1342.5097895069216
92,-1221.4984170642304,-1356.8083011736153
93,-1215.7021499821642,-1370.7233357805517
94,-1209.962799068004,-1384.8632913992944
95,-1204.2356769553905,-1399.1588725760444
96,-1198.5345525399637,-1413.2914968143432
97,-1192.8531876305858,-1427.536104780607
98,-1187.2135821959305,-1441.639054824102
99,-1181.5754882390754,-1455.540221458039
100,-1175.9461281672782,-1469.7745371673102
101,-1170.331670596934,-1483.8896742656723
102,-1164.7605513004803,-1497.9842842913688
103,-1159.2104128542505,-1512.0452267072485
104,-1153.6628408476975,-1526.2734346906987
105,-1148.1460813543188,-1540.3906850472672
106,-1142.6449615748957,-1554.5631382400625
107,-1137.1671532854014,-1568.768018125291
108,-1131.7036757543374,-1582.716821454401
109,-1126.2592309840559,-1596.6237675644481
110,-1120.8244289699421,-1610.669627964064
111,-1115.4149587932964,-1624.8717114746146
112,-1110.039080991131,-1638.8244153723692
113,-1104.6906966982012,-1652.8214631850328
114,-1099.3566461974044,-1666.9810064720605
115,-1094.0310279015287,-1680.9786173347943
116,-1088.7285804587668,-1695.0319462306857
117,-1083.4482834598637,-1709.1027524491328
118,-1078.1903753683202,-1723.2179063273709
119,-1072.952819112579,-1737.066756472883
120,-1067.726736394068,-1751.0493826145423
121,-1062.5245848171185,-1765.0486669868767
122,-1057.3511064163592,-1779.1635287254544
123,-1052.177426059752,-1793.387185482664
124,-1047.0319825981885,-1807.5566552865332
125,-1041.9004405016192,-1821.528380733638
126,-1036.7933789620954,-1835.5825685413286
127,-1031.6937876286327,-1849.8137588771717
128,-1026.6047158420117,-1863.8282710250433
129,-1021.5436421233662,-1877.7382857975306
130,-1016.50277675433,-1892.0035832615417
131,-1011.474365452703,-1906.0263227529915
132,-1006.4512608556663,-1920.1758992336906
133,-1001.4517347625571,-1934.2081052857252
134,-996.4786601299127,-1948.4359585165614
135,-991.5087760409908,-1962.3937836255511
136,-986.5636895605907,-1976.2429470458435
137,-981.636612910049,-1990.3482991051499
138,-976.7342997991183,-2004.6048963028134
139,-971.8338242497905,-2018.7139753415695
140,-966.9609773726505,-2032.8143138394064
141,-962.0960374631228,-2046.8286199620813
142,-957.2568619323223,-2060.786657171792
143,-952.4284727291276,-2074.829651446913
144,-947.6247450708005,-2088.8609150762513
145,-942.8190374649313,-2102.9390528888466
146,-938.0393188261663,-2117.012496752957
147,-933.2794744521123,-2131.3073228287635
148,-928.5396853649047,-2145.601633446536
149,-923.8192303234912,-2159.8006072019016
150,-919.1044176424026,-2174.048472131329
151,-914.4059320419789,-2188.3532626979754
152,-909.726789952976,-2202.4474301231394
153,-905.0599297753854,-2216.6383378386763
154,-900.4013184556395,-2230.9175110340825
155,-895.7730643663707,-2245.160340007096
156,-891.1619929444396,-2259.4832267190777
157,-886.565714529515,-2273.5598709106366
158,-881.9746426474316,-2287.546749591179
159,-877.403630084674,-2301.7524460212003
160,-872.8592667353762,-2316.092224873739
161,-868.3145145241951,-2330.188128932375
162,-863.7858741044861,-2344.2381837454286
163,-859.2714154811138,-2358.2081724140057
164,-854.7773685820389,-2372.5576021471325
165,-850.3024331561189,-2386.6908638835303
166,-845.8341614790322,-2401.069673725904
167,-841.387971537295,-2415.533464078909
168,-836.9462530989547,-2429.8976040500356
169,-832.5249723072016,-2444.3162272731734
170,-828.1189942091808,-2458.677047971789
171,-823.7257068786587,-2472.8757126354058
172,-819.3538537094962,-2487.2980622493264
173,-814.9880072401913,-2501.820357258342
174,-810.6358508569851,-2516.1900278021963
175,-806.301052462572,-2530.7347563829167
176,-801.9822854987433,-2545.1161468499135
177,-797.6759129179316,-2559.732907091519
178,-793.3859462331136,-2574.163681986419
179,-789.108158985603,-2588.6620652612432
180,-784.8393748144476,-2602.99833863376
181,-780.5827979514438,-2617.478379612026
182,-776.3449513695059,-2631.8679584563733
183,-772.1161708777079,-2646.4408887530844
184,-767.9112378072398,-2660.9737250249214
185,-763.7155780995997,-2675.775880297911
186,-759.5397314775548,-2690.551262807364
187,-755.3688964331707,-2705.348037665926
188,-751.2117280940452,-2719.812491079942
189,-747.0745980288962,-2734.5229631464504
190,-742.9388185869709,-2749.0872815555317
191,-738.8182112624759,-2763.7743972241446
192,-734.714024100042,-2778.377735728667
193,-730.6311137745433,-2793.162573582386
194,-726.5492539923287,-2808.070405761455
195,-722.4906845825799,-2822.917949197352
196,-718.4411936473962,-2837.6792735765316
197,-714.4020980787554,-2852.2743729657905
198,-710.374786410843,-2867.2671731354453
199,-706.3632256780834,-2882.034963232577
200,-702.3410481000765,-2896.942101130063
201,-698.3464294148735,-2911.591507695947
202,-694.3679566837318,-2926.581347436161
203,-690.39603458682,-2941.3218088108847
204,-686.4469865049894,-2956.301712979187
205,-682.5148204408611,-2971.582216725338
206,-678.5842248618942,-2986.8374499436327
207,-674.6643955205839,-3001.6636157409316
208,-670.7629400055059,-3016.5164043090886
209,-666.8761251368148,-3031.617730741324
210,-662.9990345967735,-3046.660522522608
211,-659.1376343669451,-3061.6276898176575
212,-655.2759418484236,-3076.4878368732525
213,-651.4311303774539,-3091.530674368214
214,-647.5998650698666,-3106.273223638434
215,-643.7938306189462,-3121.343934266877
216,-639.9855722389814,-3136.285321766933
217,-636.1835720263805,-3151.2459354490725
218,-632.3994604314889,-3166.461206176607
219,-628.6346765450119,-3181.3727130590687
220,-624.8746166046567,-3196.4287144107125
221,-621.1294493399705,-3211.3081687518156
222,-617.3964625178423,-3226.1774792432843
223,-613.6809433183507,-3241.172055326584
224,-609.9781986041812,-3256.4208665511687
225,-606.2889355906359,-3271.7207055364365
226,-602.5959407306209,-3287.052590422606
227,-598.920689259458,-3302.358203715694
228,-595.2557386925093,-3317.6798615041284
229,-591.6062572533092,-3332.8781918708946
230,-587.9630449814119,-3348.029946103539
231,-584.3427762963331,-3363.544187917763
232,-580.7178006560473,-3378.800417596371
233,-577.1025101298758,-3394.492896406697
234,-573.5080124136039,-3410.1915837355946
235,-569.9297430590907,-3425.457295163794
236,-566.3433438294733,-3441.0109743087487
237,-562.7811341964039,-3456.712310211083
238,-559.2281754470669,-3471.7858955615443
239,-555.6769164826678,-3487.0474500555038
240,-552.1496983105012,-3502.3253406502054
241,-548.6311416620349,-3517.724801069182
242,-545.1272894009821,-3533.4604914353326
243,-541.6284716171317,-3548.7917973235076
244,-538.145737377906,-3564.417788069979
245,-534.6681569394261,-3580.0566326835815
246,-531.1993601839588,-3595.5943039968934
247,-527.7501572986766,-3611.0583742566632
248,-524.3084576157842,-3626.724656989501
249,-520.871362219257,-3642.2658417594735
250,-517.4471707598443,-3657.8328024820958
251,-514.0248279281427,-3673.53867730813
252,-510.61775157525176,-3689.1700609063896
253,-507.2247274916283,-3704.4158540571148
254,-503.8387547611294,-3720.1798773402265
255,-500.4705230583254,-3735.949764186954
256,-497.1093438205935,-3751.7507652864183
257,-493.75304786903666,-3767.071084024291
258,-490.4144233061036,-3782.913875622309
259,-487.08528971845885,-3798.39974671084
260,-483.77729713137546,-3814.329531909423
261,-480.47012248622923,-3830.2844845918703
262,-477.1721744144695,-3845.9898958569543
263,-473.89144900039196,-3862.0393700307254
264,-470.61238576081746,-3877.7017066791404
265,-467.33750999393055,-3893.308687471093
266,-464.08858691487353,-3907.862631271487
267,-460.84919019442646,-3922.6953998111508
268,-457.62008054219086,-3938.5597535287843
269,-454.39591526481263,-3954.5216652600034
270,-451.19057794701416,-3970.5780540310184
271,-447.9952530926946,-3986.634912871199
272,-444.80326852068106,-4002.3025254955246
273,-441.6192784049256,-4018.349821653187
274,-438.44029544304044,-4034.2915675622553
275,-435.28440048148764,-4049.8946112699145
276,-432.1414477879523,-4065.7423942072214
277,-428.9961760076535,-4081.7303640845043
