N,lnPi(N),U(N)
61,-1041.5138363882784,-883.3190252644185
62,-1035.7752320384366,-897.3051770887015
63,-1030.0738702590552,-911.2305728965212
64,-1024.3926918337786,-925.4134891678252
65,-1018.7112602322204,-939.3060049261884
66,-1013.0758026847236,-953.1811455568379
67,-1007.4913715166678,-967.0366405913938
68,-1001.9115213471905,-980.7849334190065
69,-996.3601423207735,-994.8024434975516
70,-990.8400040682698,-1008.7172622728901
71,-985.3393042919117,-1022.5816778512249
72,-979.8618891602137,-1036.256542507572
73,-974.4191272813207,-1049.9839574870305
74,-968.9910443656306,-1063.723349993314
75,-963.5813349251023,-1077.562505605524
76,-958.2018610949241,-1091.2461287013155
77,-952.848782362653,-1104.8494745194369
78,-947.5106556911801,-1118.6227697075249
79,-942.2171492090541,-1132.5135145547497
80,-936.9497627409812,-1146.3032705837845
81,-931.6826565659139,-1160.043327212933
82,-926.450872022679,-1173.984254095534
83,-921.2502602319614,-1187.762372838043
84,-916.0626379448564,-1201.462754528958
85,-910.905105676788,-1215.2154076290055
86,-905.7551648113085,-1228.8796763470662
87,-900.6300040860219,-1242.3841369824686
88,-895.5462985875101,-1255.8435438158713
89,-890.4735050554747,-1269.395092458456
90,-885.4365226481119,-1282.9667070128933
91,-880.4048246799007,-1296.3624116043377
92,-875.4042409891294,-1309.8645360444202
93,-870.439047565794,-1323.6170012214352
94,-865.4685663729658,-1337.2759570552348
95,-860.5418100314837,-1350.7283259031733
96,-855.6343142352487,-1364.1178104694636
97,-850.7375873097345,-1377.5530574752777
98,-845.8431892074892,-1391.0574447265826
99,-841.0014204569181,-1404.886262233102
100,-836.164804810596,-1418.354343351084
101,-831.35878987775,-1431.8771887761345
102,-826.5720524908654,-1445.4254810089292
103,-821.8024324325843,-1459.0252403722966
104,-817.0601184773175,-1472.6296318167967
105,-812.328626584777,-1486.129067365213
106,-807.6214233544815,-1499.812355717076
107,-802.9197533836534,-1513.2496176072066
108,-798.2746280040933,-1526.7380403919576
109,-793.6310485717179,-1540.0990750978146
110,-789.000039027657,-1553.5537295823815
111,-784.3897194505432,-1566.9693939294345
112,-779.800436610599,-1580.522344032535
113,-775.2369788835986,-1594.0276909029167
114,-770.6966189846406,-1607.4895927015507
115,-766.1709561668318,-1620.9652847644036
116,-761.6581252726503,-1634.3759914696998
117,-757.167055636978,-1647.8921013355612
118,-752.6859368789482,-1661.1165718626314
119,-748.2413223623495,-1674.5296954282364
120,-743.8039445973279,-1688.1627846318918
121,-739.3794232972645,-1701.683460959016
122,-734.9889117571327,-1715.1101349373898
123,-730.6156973884117,-1728.6741069335487
124,-726.2553458563741,-1742.2684120946574
125,-721.9199038588571,-1755.509126898544
126,-717.5948754551747,-1768.9159058880782
127,-713.2907376369978,-1782.561527923168
128,-709.0153283137128,-1796.0831206770645
129,-704.7453012463894,-1809.530681950243
130,-700.4907688638621,-1823.0485946232232
131,-696.2461291279695,-1836.5279698534498
132,-692.0342997830656,-1849.7712579668714
133,-687.8312200622778,-1863.4493376263351
