N,lnPi(N),U(N)
0,-403.4256470262737,0.0
1,-395.9965516573319,-7.020681691560124
2,-389.2447178376331,-14.09033633357048
3,-382.90442177606127,-21.17734194827113
4,-376.8568673606171,-28.294914127106853
5,-371.0388543512254,-35.41283196427618
6,-365.413547658301,-42.53776948165343
7,-359.93601531750653,-49.72458346537128
8,-354.60446056951514,-56.95793807205627
9,-349.3841842675275,-64.21784668123945
10,-344.27237404376615,-71.44439637854424
11,-339.2639668718834,-78.7099971624489
12,-334.35111176763854,-85.97131995615008
13,-329.5248262705473,-93.26633562397441
14,-324.7690289026222,-100.63493863876634
15,-320.0871172391732,-108.02701656228582
16,-315.482099171161,-115.43028513283984
17,-310.942114625856,-122.82584430371855
18,-306.45948899298963,-130.26294950731065
19,-302.03818751889554,-137.77159818970893
20,-297.6670330584585,-145.24819735366944
21,-293.34887673508297,-152.78518649457806
22,-289.0803817686315,-160.33842559550163
23,-284.8676963623701,-167.95690112773005
24,-280.7015471882751,-175.54130101648096
25,-276.5783595356974,-183.16194635115897
26,-272.4972068489905,-190.76845813388982
27,-268.46930097957704,-198.45839338998312
28,-264.478802965512,-206.10348148180066
29,-260.5263085078926,-213.90110751447406
30,-256.61957889728797,-221.639159674935
31,-252.74889210686186,-229.40643870427996
32,-248.92132223854605,-237.19089247242326
33,-245.12341259206806,-245.00552472398607
34,-241.3570945077209,-252.8323685090572
35,-237.63026226576378,-260.73679755178335
36,-233.93513562476625,-268.6768963477131
37,-230.278808445235,-276.6826082542771
38,-226.65853579357673,-284.7319894897305
39,-223.0653923545325,-292.84021273668753
40,-219.5078039907627,-300.9444153259652
41,-215.980908537058,-309.0039906597591
42,-212.48285459200605,-317.1071290626385
43,-209.01834919772722,-325.2734103349596
44,-205.58378340554907,-333.387964862319
45,-202.17964705778755,-341.6454140418326
46,-198.80204316947544,-349.86258086592693
47,-195.44989031775881,-358.1204327818269
48,-192.1305025031864,-366.3672355298884
49,-188.83665907868874,-374.6877046079843
50,-185.57553062137936,-383.0563346484532
51,-182.34267830713944,-391.39652145619937
52,-179.13823872576765,-399.78204930992945
53,-175.95712929355264,-408.202426231876
54,-172.80977645506655,-416.73672072259455
55,-169.6870037248711,-425.32716259650255
56,-166.58742726685222,-433.9232447756642
57,-163.52073573554733,-442.50005501615016
58,-160.47593040478978,-451.09046850714446
59,-157.46355099438998,-459.8098836931177
60,-154.4760887754278,-468.45854619855737
61,-151.5120338293365,-477.0729394420372
62,-148.57124382197154,-485.86109853916537
63,-145.65913617519774,-494.72887177123414
64,-142.77421539291217,-503.5178366303795
65,-139.9132762639596,-512.3645215109494
66,-137.07445344725423,-521.2280168260497
67,-134.26930848561844,-530.0717368180315
68,-131.48483609837612,-539.0141707045965
69,-128.7282292972652,-548.0510827491936
70,-125.99525866990965,-557.0690592358158
71,-123.28697953080203,-566.1440850670126
72,-120.59894647517822,-575.2823490318962
73,-117.94427340238096,-584.4652001350222
74,-115.3111813365006,-593.7245254479102
75,-112.7052383747866,-602.878155459845
76,-110.12479086225326,-612.1200522835989
77,-107.56753857026095,-621.3047610118501
78,-105.04270971082175,-630.6791741606776
79,-102.53764983680432,-640.2297093341986
80,-100.05687738242054,-649.688001768892
81,-97.60545276365994,-659.1880190772617
82,-95.17611113824981,-668.7665936123216
83,-92.77681467116528,-678.2628560772106
84,-90.39951861405419,-687.7902977063653
85,-88.04679949290144,-697.4760359289011
86,-85.71789086653163,-707.1115072696117
87,-83.42344112635854,-716.742523286368
88,-81.15258406696913,-726.4289692122709
89,-78.91242652777467,-736.2078969142959
90,-76.69539866684002,-745.9623130070654
91,-74.50893896371602,-755.7860470401428
92,-72.35151458769516,-765.5895985878473
93,-70.22296844506596,-775.3996627450164
94,-68.11017563175525,-785.286805049671
95,-66.02662379070452,-795.3531058310975
96,-63.97615608770914,-805.4697675526394
97,-61.95295708404879,-815.3963154857325
98,-59.9552748201161,-825.547725888404
99,-57.98355221065512,-835.6664114648089
100,-56.042620033946406,-845.8878419016482
101,-54.128327263291936,-856.1533743226884
102,-52.24912168023533,-866.4849330908095
103,-50.3956063386041,-876.8154965704457
104,-48.57131921473999,-887.0978136402408
105,-46.77274590794539,-897.4460962737381
106,-45.00925567642494,-907.6895378272595
107,-43.27513819543205,-918.0896273479005
108,-41.567503464236864,-928.6829923876837
109,-39.89423043673227,-939.0156468569843
110,-38.24817935537524,-949.7287713037957
111,-36.635498033191965,-960.3392114547463
112,-35.053006792950754,-971.1545355153052
113,-33.50663054864148,-981.7679972959137
114,-31.99568343003355,-992.3359842259933
115,-30.510266466402214,-1003.0688069216832
116,-29.068681859729764,-1013.7024044147083
117,-27.6531984132923,-1024.544097872071
118,-26.26653141325093,-1035.3267421914918
119,-24.917606874512586,-1046.3343593368318
120,-23.606062595548195,-1057.2802566340094
121,-22.32163131775698,-1068.1532784125175
122,-21.076670849939745,-1079.078992304086
123,-19.874486544929965,-1089.9710438328357
124,-18.700029237086568,-1100.7136947932418
125,-17.567107838203214,-1111.633407031007
126,-16.472176671770313,-1122.575789462053
127,-15.411293537802381,-1133.5771483433323
128,-14.389274884451114,-1144.7933669332576
129,-13.408376092204124,-1155.6828707774137
130,-12.458887596520897,-1167.2440792822267
131,-11.553945288955932,-1178.6727797624885
132,-10.680994392246506,-1189.9294976675437
133,-9.858779880138828,-1201.0794784983932
134,-9.068566548018369,-1212.34232341544
135,-8.307181201098588,-1223.2098634119384
136,-7.598891956034523,-1234.362974238927
137,-6.939463091545038,-1245.4036285799566
138,-6.3151838311632975,-1256.8119169702052
139,-5.731117166268662,-1268.1614637556393
140,-5.189062353212167,-1279.4155633891417
141,-4.696357718165958,-1290.8325741422486
142,-4.249900472162809,-1302.3413956381012
143,-3.8491812592718886,-1313.4075489840527
144,-3.4896588902796295,-1324.699933781996
145,-3.1801234854384304,-1336.1250168398342
146,-2.9297055195719124,-1347.1855770581935
147,-2.727143668582444,-1358.850797861333
148,-2.5746888443962646,-1370.3148107864424
149,-2.4627239178497304,-1381.3678735774574
150,-2.408768603355186,-1392.6374097823082
151,-2.402262852064753,-1403.8856845107227
152,-2.44683778991717,-1414.8520637687845
153,-2.5473195504859247,-1425.4567018653445
154,-2.7027778911763973,-1436.9283608928185
155,-2.9169690022459647,-1448.1846458988427
156,-3.179171214313642,-1459.4687568188783
157,-3.4937208504032085,-1470.6837392836858
158,-3.876516005419576,-1481.6734260831226
159,-4.3100270938438445,-1492.9983466669516
160,-4.802797729635957,-1503.9546768930675
161,-5.360229997310485,-1514.6380638879791
162,-5.967989314148811,-1525.9356700677793
163,-6.632887748966683,-1537.0867855207412
164,-7.374613335253658,-1547.7108417575264
165,-8.16780975656272,-1558.7387114097505
166,-9.020804497759089,-1570.5149838915922
167,-9.946446007161656,-1581.652604826571
168,-10.935166153168469,-1592.6294090116282
169,-11.980649388695754,-1603.68426361807
170,-13.09280525338349,-1614.7370974005182
171,-14.265074570334805,-1625.5197648903766
172,-15.50010353460843,-1635.972520739232
173,-16.796827432415427,-1646.6120289948947
174,-18.180803067032087,-1656.7843740562564
175,-19.62668223141108,-1667.519275723009
176,-21.125563184859374,-1678.0976381134644
177,-22.71618084090224,-1688.2198998282981
178,-24.368729924662404,-1698.1334236125906
179,-26.094006396800836,-1708.1619414586569
180,-27.891609804432477,-1719.6403096862043
181,-29.743474534130513,-1729.4686210300745
182,-31.688762951310395,-1739.8902434903716
183,-33.69715993760437,-1749.6332017789646
184,-35.776370808299276,-1760.7433820378
185,-37.91400495877005,-1771.1489610940937
186,-40.15806680183019,-1780.5229922559422
187,-42.50539241682813,-1790.4195332532802
188,-44.91453507475123,-1800.145057387223
189,-47.37456121136333,-1811.3473773000255
190,-49.894150978409954,-1821.634392867375
191,-52.48121756489789,-1831.4433352257577
192,-55.15102472896913,-1840.9764180140223
193,-57.91732847462325,-1851.530119969286
194,-60.75256822124115,-1861.7713125915323
195,-63.67768831267816,-1871.9126694260663
196,-66.64197587010526,-1882.0021475236629
197,-69.70743209154412,-1891.4776870873097
198,-72.85363318000336,-1900.7707060616385
199,-76.06176068612425,-1910.4680537741897
200,-79.37718740516604,-1920.1164470987148
201,-82.75715404951436,-1931.520416007034
202,-86.20770104878827,-1941.7443908353443
203,-89.76541152353221,-1950.7650565146494
204,-93.41062432702407,-1959.9990413681878
205,-97.16450582364641,-1968.6294734275068
206,-101.00298397974493,-1977.9691592526267
207,-104.92051302448417,-1987.9332502729874
208,-108.89326343548319,-1997.9479967755622
209,-112.94494846008072,-2008.3006433771525
210,-117.11910059153328,-2015.905468120523
211,-121.41668208031066,-2025.1116884787782
212,-125.80741741931732,-2034.86768402152
213,-130.26266643387422,-2043.6300306749981
214,-134.81062705984127,-2051.5831592986437
215,-139.47973126313886,-2061.071290197587
216,-144.26110548528575,-2071.458737571083
217,-149.1215890482112,-2079.9471007280367
218,-154.13655214850468,-2089.9566215900622
219,-159.2606744798293,-2097.2613720473037
220,-164.495631549158,-2105.830193090903
221,-169.8302003088099,-2114.6444007554232
222,-175.26484720069115,-2122.493822293693
223,-180.86041267481812,-2129.686011199753
224,-186.6629743994908,-2137.0113651855913
225,-192.4694323217699,-2145.9893421197653
226,-198.36280237829592,-2152.270491556932
227,-204.4481801699718,-2161.3693832749714
228,-210.63166192098535,-2165.942254236087
229,-216.99724922627183,-2171.2938537635464
230,-223.61016297060755,-2174.5974650417684
231,-230.35661452952917,-2182.946478963403
232,-237.28067758779,-2189.8917945781623
233,-244.27338978808154,-2196.2718051551374
234,-251.22689379028344,-2201.9097633531096
235,-258.4223449234974,-2211.782505701213
236,-265.71681564122065,-2221.1992941462036
237,-273.3727143383258,-2220.571971437058
238,-280.9184279228403,-2233.257578065718
239,-288.78982602494006,-2224.7802448619345
