N,lnPi(N),U(N)
52,-514.1787941900213,-564.9993102452253
53,-509.27593726155726,-576.4908894992753
54,-504.3996875512513,-587.8826682985651
55,-499.55150261620423,-599.2480077087897
56,-494.72544172111054,-610.6492782118886
57,-489.9175350197272,-622.1962907866396
58,-485.1280704904631,-633.7826779218643
59,-480.3791552148791,-645.37849947418
60,-475.65182821931444,-656.9171516751729
61,-470.94035405162896,-668.5144950465065
62,-466.2481739508205,-680.1542943620104
63,-461.5855764269216,-691.70412680721
64,-456.95131540642257,-703.3115774061908
65,-452.33560206279265,-714.9942236237351
66,-447.73886962172105,-726.7127425142347
67,-443.17578944758435,-738.3605282279904
68,-438.62405556175895,-750.1629161977708
69,-434.0963007190995,-761.9501362526041
70,-429.5858209624592,-773.7558723481218
71,-425.0983488833952,-785.5101118668352
72,-420.63472845533255,-797.4218351293086
73,-416.1872753526744,-809.3148733400182
74,-411.7631199432347,-821.2640710413962
75,-407.35953765559594,-833.1494242687241
76,-402.9785939271688,-845.0900365330697
77,-398.6266373641962,-857.094703726866
78,-394.28576308917303,-869.0389640782555
79,-389.9760000387974,-880.9860148952068
80,-385.6905076238752,-892.9731883502976
81,-381.4143240243312,-904.9678247147308
82,-377.1706319675173,-917.0543343092187
83,-372.9361454118312,-929.1753112606228
84,-368.73436048015566,-941.2709921998486
85,-364.5437638221362,-953.4882361304823
86,-360.37423032927035,-965.6023781636292
87,-356.2295447420303,-977.7168065058738
88,-352.10763064610137,-989.9085871655955
89,-348.0057934730219,-1002.0427481438976
90,-343.9180588571163,-1014.3815789244964
91,-339.864029279485,-1026.7636452962095
92,-335.82533606111707,-1039.0043850726045
93,-331.7972477304428,-1051.270542439362
94,-327.7936013621778,-1063.5936867491548
95,-323.81079250237883,-1075.977114684311
96,-319.85228369821806,-1088.3117179838475
97,-315.91463486971855,-1100.7343724367522
98,-312.0032767853237,-1113.1636796519963
99,-308.1023088833599,-1125.744423493804
100,-304.2357280103495,-1138.2955483020392
101,-300.3843134292123,-1150.9019588544159
102,-296.55344333562675,-1163.433893974425
103,-292.73963068258433,-1175.9197869728516
104,-288.94723571917905,-1188.4898230832787
105,-285.1858006229654,-1201.2010357525917
106,-281.43862916981516,-1213.9444086548774
107,-277.7115602194042,-1226.4635611545618
108,-274.00361588936516,-1238.9490676261746
109,-270.32498249542687,-1251.5913735347851
110,-266.65224117903745,-1264.2293315340694
111,-263.01732567200395,-1276.8412485754868
112,-259.40038930544677,-1289.6783048677094
113,-255.80718886081456,-1302.4979763674733
114,-252.22614656386042,-1315.21561913739
115,-248.68749387787443,-1327.9203041236367
116,-245.15948383256705,-1340.8094796920122
117,-241.65811770422806,-1353.624203204109
118,-238.17648496070865,-1366.4390134139169
119,-234.71802979822598,-1379.530385240541
120,-231.27475471840444,-1392.433380930125
121,-227.85464167235386,-1405.718195899251
122,-224.44808638920608,-1418.8683281850085
123,-221.0748524517212,-1431.8536702182025
124,-217.72272969007622,-1444.7298015207386
125,-214.38605259486712,-1457.7833835799113
126,-211.08980459737086,-1470.9041241594734
127,-207.80279457085635,-1484.155259558219
128,-204.5359213095544,-1497.0869527228817
129,-201.29066362037588,-1510.015052432122
130,-198.07201229034274,-1523.1260545312603
131,-194.8796930736637,-1536.5133863153153
132,-191.69740508763198,-1549.6979609794482
133,-188.54059878984447,-1562.96019878152
134,-185.40587166125215,-1576.241610356393
135,-182.30277056927662,-1589.4584425909231
136,-179.21732650955073,-1602.78101440568
137,-176.14651252910812,-1616.1184785187859
138,-173.10274320970916,-1629.5910070609461
139,-170.08602071373434,-1642.9083166154146
140,-167.08621893235818,-1656.1513625014554
141,-164.11819165440704,-1669.33685897113
142,-161.18740229945888,-1682.7796980745388
143,-158.2716522628334,-1696.4016340360754
144,-155.3704897543504,-1709.686805747375
145,-152.49052786186826,-1723.2330899396984
146,-149.64557000268928,-1736.8571833648186
147,-146.8288024878891,-1750.380772594059
148,-144.02525439051306,-1763.8732245306148
149,-141.2389690396949,-1777.497571005983
150,-138.48748144863384,-1790.9715677808251
151,-135.75909378887286,-1804.8230663739917
152,-133.05642053240547,-1818.6307810735445
153,-130.36848109059895,-1832.457969064742
154,-127.7098442828319,-1846.0112847490532
155,-125.06199320757206,-1859.7916784161407
156,-122.45178390934869,-1873.8049688472568
157,-119.86857846686529,-1887.2149282219968
158,-117.32046154668784,-1900.5174654137816
159,-114.7894136720415,-1914.1964844449162
160,-112.2848027098995,-1928.145325061781
161,-109.79848522506244,-1941.8653165367932
162,-107.33879213839315,-1955.7901176897974
163,-104.90406858658876,-1969.3086850020582
164,-102.49633774527841,-1983.2101061644967
165,-100.11890993194628,-1996.9054406967439
166,-97.7543383927832,-2010.814377653896
167,-95.41335720940275,-2025.0443578505287
168,-93.10494434096493,-2039.0891460280634
169,-90.8174551092112,-2052.859500309158
170,-88.55829092855502,-2066.7672600761366
171,-86.31954771461038,-2080.3532062275144
172,-84.11906087493695,-2094.650802714794
173,-81.93992106857807,-2108.549240532473
174,-79.78611609524727,-2122.3891061808567
175,-77.65744155912726,-2136.4445392353095
176,-75.54899965239677,-2151.0039852000964
177,-73.46863330828488,-2165.7029548741575
178,-71.40844193808083,-2180.0078094010055
179,-69.38185640060793,-2193.859025660798
180,-67.3892345512355,-2207.3257958602753
181,-65.41545458599727,-2221.4548459538423
182,-63.482451064895706,-2235.6071571859716
183,-61.57499189692589,-2249.7318619185444
184,-59.68406418331926,-2263.990302163969
185,-57.81464989682444,-2278.455655961059
186,-55.971243436858224,-2293.385619864308
187,-54.15479575995982,-2307.41575243797
188,-52.363141145830916,-2321.698353004803
189,-50.61123523797129,-2335.5913933684146
190,-48.885502072605384,-2349.556466003518
191,-47.19065699974805,-2363.2094384450957
192,-45.52633132686184,-2377.0712466608234
193,-43.87977164224605,-2391.0579884585686
194,-42.27082886234427,-2404.6073997550884
195,-40.68557774181385,-2418.722659196026
196,-39.12642071235529,-2433.247882230741
197,-37.585600687090384,-2447.904826795296
198,-36.09534209867194,-2462.320477782548
199,-34.62835919864994,-2476.579240183074
200,-33.18559164059365,-2491.3356057553465
201,-31.777615948027336,-2506.083924485646
202,-30.398578417358056,-2519.9881103148437
203,-29.028888711230127,-2534.359766434842
204,-27.69583527155122,-2548.9514810858927
205,-26.395690813950626,-2563.6096391653523
206,-25.135064602530054,-2578.1390108304654
207,-23.894027469571245,-2592.538306710947
208,-22.70527117768039,-2607.1511160871155
209,-21.551212144711815,-2621.291492643002
210,-20.417436772032364,-2635.6471542115537
211,-19.29961870520616,-2650.7053393204023
212,-18.240240429139693,-2664.904374295655
213,-17.204363718338175,-2678.462941467434
214,-16.193635037063235,-2693.317946780893
215,-15.207802842639797,-2708.382670793819
216,-14.265690095411504,-2723.2487797276194
217,-13.342996556198603,-2737.7813908797066
218,-12.471563753445697,-2751.9586851148
219,-11.621128751011828,-2766.458756033943
220,-10.809271781391192,-2780.8686012778116
221,-10.032274501450946,-2794.8746909046013
222,-9.287529906299245,-2809.850999935472
223,-8.577131433101602,-2823.8719844888374
224,-7.8988855814358105,-2837.588377399559
225,-7.268452730957269,-2852.429733640417
226,-6.6858777258329285,-2867.7637964212777
227,-6.113748271533486,-2882.0118508957316
228,-5.587651420040619,-2896.7565940516442
229,-5.0990999603217135,-2910.4775627893673
230,-4.659565744039118,-2923.9721896879882
231,-4.266139989642842,-2938.439976981842
232,-3.9080111028933873,-2953.0014702693866
233,-3.5818569264450746,-2967.665356403588
234,-3.2897567620009243,-2982.131654966518
235,-3.05530459838666,-2996.5254143991397
236,-2.856868813659152,-3010.0290216145654
237,-2.7167146887087386,-3023.5706923596663
238,-2.603174425181682,-3038.273384731379
239,-2.5215963554600096,-3052.875645709591
240,-2.485355675393625,-3067.6262689593664
241,-2.4866597167737057,-3081.4415288631644
242,-2.545410604604503,-3095.8006630159975
243,-2.646552043475812,-3110.012939435698
244,-2.7953305706998792,-3124.2868431508864
245,-2.992724854818893,-3137.9512368228116
246,-3.2248448065384894,-3151.6042626047947
247,-3.52249746509914,-3164.740293748482
248,-3.8735700495886833,-3178.4774895143323
249,-4.27610032229028,-3192.8270764494487
250,-4.726811340336089,-3207.2316011984612
251,-5.217423182368852,-3221.0954575864475
252,-5.783921548524394,-3233.8110248636594
253,-6.408640045605456,-3247.0706871545376
254,-7.083656712827168,-3260.6926526045054
255,-7.8283616694998175,-3273.1033471489304
256,-8.621215749288115,-3286.343739577091
257,-9.49784082936036,-3299.077828440222
258,-10.40460591167447,-3312.251201200909
259,-11.366811371375992,-3325.754502796301
260,-12.406713690229811,-3338.674846042659
261,-13.512814700687716,-3352.250588684814
262,-14.65602979381639,-3365.970620993254
263,-15.858565834267882,-3377.5792629317903
264,-17.10549029896639,-3389.7941334814614
265,-18.429139007003744,-3401.7877016900547
266,-19.85046671430972,-3414.3663092078964
267,-21.368783904083433,-3426.4105766087423
268,-22.92353660853006,-3437.934588804793
269,-24.53392453896264,-3450.534776361631
270,-26.244514765302586,-3462.2817939270735
271,-27.9813162922237,-3474.1683848196617
272,-29.750707132257947,-3486.308910424994
