N,lnPi(N)
0,-1040.8526637200655
1,-1036.8906135720401
2,-1033.6295018807482
3,-1030.7839803490203
4,-1028.1914098320945
5,-1025.7687145290686
6,-1023.4421423097122
7,-1021.1716917922017
8,-1018.9179363027708
9,-1016.650690376152
10,-1014.3641000023871
11,-1012.0519679361723
12,-1009.6990219576908
13,-1007.3249152552712
14,-1004.9334040509032
15,-1002.5222870575051
16,-1000.1116923473064
17,-997.6829004270922
18,-995.2481691255149
19,-992.79723817006
20,-990.3282436499807
21,-987.8355293917872
22,-985.3208889798802
23,-982.7872342559942
24,-980.2179508101902
25,-977.6160948962453
26,-974.9848715360025
27,-972.308166222902
28,-969.5866480571568
29,-966.8194817913982
30,-964.003846947452
31,-961.123160266796
32,-958.188088043168
33,-955.1972053094333
34,-952.1557945439266
35,-949.0940686656064
36,-946.0173918757325
37,-942.9540829652306
38,-939.9080853381544
39,-936.8875416846296
40,-933.9128617182181
41,-930.9736365285443
42,-928.0657291933579
43,-925.2165145770211
44,-922.4007583152827
45,-919.6322921794749
46,-916.9162597242988
47,-914.2405681586107
48,-911.5953122926865
49,-909.0000430329854
50,-906.441008026127
51,-903.9275729072909
52,-901.4518556972954
53,-898.9939125895238
54,-896.5678001199366
55,-894.1707892816725
56,-891.7959104034458
57,-889.437909202695
58,-887.0923930997169
59,-884.7448309846689
60,-882.3892477535944
61,-880.0289749167997
62,-877.6471405063756
63,-875.2499536974553
64,-872.798753410612
65,-870.3186789378778
66,-867.8036253023984
67,-865.2457067712386
68,-862.6368388219346
69,-859.9715506609357
70,-857.260226407879
71,-854.4632229843495
72,-851.6169551565075
73,-848.7287329939657
74,-845.8161459624074
75,-842.8842537420447
76,-839.9445404052399
77,-837.0025858329369
78,-834.0706430068981
79,-831.155125933799
80,-828.2563572530106
81,-825.3689926730934
82,-822.4961386985173
83,-819.6572946331654
84,-816.8412512001988
85,-814.0434332892789
86,-811.2691820484241
87,-808.5102942898925
88,-805.7870066108525
89,-803.0869648389574
90,-800.4100325527224
91,-797.7506884556727
92,-795.1222713911841
93,-792.5181434365844
94,-789.938373021784
95,-787.3679800166468
96,-784.8182529524835
97,-782.2917616929847
98,-779.7863070716578
99,-777.2989829481339
100,-774.8382168867569
101,-772.3806707125024
102,-769.9435864503092
103,-767.5130933414663
104,-765.1013792477753
105,-762.692982448502
106,-760.284801727025
107,-757.8762328938677
108,-755.4623223151902
109,-753.0291566077115
110,-750.5838646647666
111,-748.0919107777742
112,-745.5364989144215
113,-742.9166018180624
114,-740.2340906661685
115,-737.4995600770648
116,-734.7117791936374
117,-731.8944197680372
118,-729.0419609263314
119,-726.1870512916224
120,-723.3366958741702
121,-720.487736649179
122,-717.6463067977162
123,-714.807112890427
124,-711.9707904972242
125,-709.1452066668629
126,-706.3370668062645
127,-703.5503594423127
128,-700.7776343327415
129,-698.0152830417014
130,-695.2652340793096
131,-692.5286475735879
132,-689.7900562534097
133,-687.0686193769917
134,-684.3753397546874
135,-681.687931730399
136,-679.0086547370875
137,-676.3396188451962
138,-673.6761026479179
139,-671.0141485971199
140,-668.3368669096258
141,-665.6504574790043
142,-662.7668616602745
143,-659.8503051858085
144,-656.8901793831914
145,-653.9113559220887
146,-650.9379162071641
147,-647.9647234488713
148,-644.9850561299178
149,-642.0121640150859
150,-639.0578156194257
151,-636.1136685640421
152,-633.1881919359174
153,-630.275745313398
154,-627.3747268045306
155,-624.4948333627641
156,-621.6231342565998
157,-618.7776203186507
158,-615.9445168781581
159,-613.1356938302482
160,-610.3401939978068
161,-607.56484339653
162,-604.8063476693887
163,-602.0728800412622
164,-599.3623537860375
165,-596.6420382340565
166,-593.9334986200788
167,-591.2385415339342
168,-588.5544077072076
169,-585.8815672844305
170,-583.221816700585
171,-580.5808972068761
172,-577.956978823706
173,-575.3892630202091
174,-572.8326981576284
175,-570.3013789838151
176,-567.7892600223242
177,-565.2821210678494
178,-562.7883418218607
179,-560.3084177445807
180,-557.8303898759342
181,-555.3699866066272
182,-552.9130264467349
183,-550.4450218449007
184,-547.9650676886157
185,-545.465172189272
186,-542.917345130833
187,-540.3381291800789
188,-537.7003111311874
189,-535.0578839503695
190,-532.346879059723
191,-529.5992814418936
192,-526.8138524149292
193,-524.0023900000383
194,-521.1680208730162
195,-518.311313154508
196,-515.4445419512004
197,-512.5893120083549
198,-509.7415253871321
199,-506.89883539330106
200,-504.0741449742884
201,-501.2586944988353
202,-498.4520689442461
203,-495.6608645218595
204,-492.8646727168988
205,-490.084542074492
206,-487.30993409313714
207,-484.54473349235934
208,-481.78887753155504
209,-479.0393286849154
210,-476.30063613297966
211,-473.5627356395921
212,-470.7921669912
213,-468.01411758556503
214,-465.2195022984163
215,-462.4145168880524
216,-459.5984617958147
217,-456.75851824678784
218,-453.9085837995559
219,-451.0446773042935
220,-448.1639194010255
221,-445.27191779668465
222,-442.36473366846417
223,-439.4473030896687
224,-436.52913534582126
225,-433.61528041988856
226,-430.7068774893322
227,-427.81710291531874
228,-424.94000617353845
229,-422.06592080787857
230,-419.20570982022025
231,-416.35097624241007
232,-413.5095477381377
233,-410.6805267393844
234,-407.86843155307565
235,-405.0621262132664
236,-402.2748800639157
237,-399.492536722232
238,-396.7292768802189
239,-393.9740987849426
240,-391.22711586730804
241,-388.49275039082977
242,-385.75521698938826
243,-383.0356521596351
244,-380.3259339470094
245,-377.6120689743998
246,-374.8979637305755
247,-372.1817315210708
248,-369.4611124165576
249,-366.7352307662442
250,-363.99762684892335
251,-361.20147646075554
252,-358.3757190086176
253,-355.52023621581304
254,-352.6349006171496
255,-349.7297217389188
256,-346.8068758360273
257,-343.8781379803305
258,-340.94553408700153
259,-338.03663694122486
260,-335.1276430234153
261,-332.2214621351869
262,-329.31814256875475
263,-326.4351770357172
264,-323.5701562503416
265,-320.71138447565477
266,-317.8745721262038
267,-315.0442674445559
268,-312.2279317759369
269,-309.4243545891961
270,-306.64247417134607
271,-303.8716566794735
272,-301.1223866840679
273,-298.39401968293635
274,-295.68115874366026
275,-292.9745816293613
276,-290.2790597962544
277,-287.60015226913015
278,-284.922316182391
279,-282.2553510629766
280,-279.59566830837
281,-276.93388190138535
282,-274.29228927049667
283,-271.6478636155674
284,-268.98454147276584
285,-266.31005429392906
286,-263.6169779064103
287,-260.88374403757587
288,-258.11256416627805
289,-255.30920059996447
290,-252.41099490368572
291,-249.497495680665
292,-246.58176517294714
293,-243.6716115171697
294,-240.77493242469882
295,-237.8889533825162
296,-235.00659652183106
297,-232.14705837392478
298,-229.29435112575368
299,-226.45342718611948
300,-223.6308070219436
301,-220.83109420997187
302,-218.0509408259718
303,-215.2944113665028
304,-212.55142544692046
305,-209.8326956242796
306,-207.12550944470877
307,-204.43883277883947
308,-201.76316324535549
309,-199.1068330790555
310,-196.46034981259402
311,-193.83499567766808
312,-191.21861836299627
313,-188.62678796279022
314,-186.03392670458675
315,-183.44873752636443
316,-180.88362077919885
317,-178.34556887505858
318,-175.82618548800167
319,-173.31811427364335
320,-170.8155663719591
321,-168.31904215564043
322,-165.82727854471182
323,-163.34929768030372
324,-160.8791941992249
325,-158.41199831929669
326,-155.95817849259276
327,-153.52345162894073
328,-151.09974653165136
329,-148.69690456709623
330,-146.28957947789502
331,-143.89201521969846
332,-141.51114766877333
333,-139.15035816828004
334,-136.80269081985261
335,-134.44926348955096
336,-132.11395259787946
337,-129.7757485462123
338,-127.44272265280792
339,-125.11319451377268
340,-122.80541939456704
341,-120.49750903876885
342,-118.19763101146431
343,-115.90007072639993
344,-113.62258968235427
345,-111.36085979358542
346,-109.1047885298507
347,-106.85814232364568
348,-104.6165827006006
349,-102.3779949118938
350,-100.15363863567633
351,-97.94111309073561
352,-95.74129658622816
353,-93.5471770878436
354,-91.36859546823338
355,-89.18230943862501
356,-87.01444320476197
357,-84.85606126089034
358,-82.71761118247572
359,-80.58402538258953
360,-78.45235129852087
361,-76.33614812418513
362,-74.23767381420079
363,-72.15703156891699
364,-70.08894725903794
365,-68.02818683500938
366,-65.98120583544723
367,-63.95924781406996
368,-61.93091072610583
369,-59.92381964637867
