N,lnPi(N)
333,-138.77380347559486
334,-136.41698252492236
335,-134.06041405267936
336,-131.72086050805083
337,-129.38139237809074
338,-127.05273952156905
339,-124.72934837876961
340,-122.42633572758656
341,-120.12691419541899
342,-117.84376779806838
343,-115.55899810410746
344,-113.29029408750809
345,-111.03364037020903
346,-108.78009130946033
347,-106.5344709967825
348,-104.29285090639725
349,-102.0573319680383
350,-99.83445864257943
351,-97.62664783298023
352,-95.41846193354685
353,-93.2346369146593
354,-91.06760318001649
355,-88.88731918677128
356,-86.70584685640155
357,-84.5489313666974
358,-82.40624724307692
359,-80.2700544046145
360,-78.14684401811907
361,-76.04936806185687
362,-73.96765680452428
363,-71.89947361677459
364,-69.83348468567739
365,-67.77501125403548
366,-65.73907822890955
367,-63.72496783098827
368,-61.69188753255823
369,-59.691909295224626
370,-57.70458367517053
371,-55.71447514732747
372,-53.74125050492048
373,-51.7719561258456
374,-49.83707731314316
375,-47.915469753058936
376,-46.0313095397154
377,-44.163888239489914
378,-42.3410611125337
379,-40.52500411590349
380,-38.73181254846954
381,-36.954965019271775
382,-35.208693724828684
383,-33.50303360905482
384,-31.830794036596693
385,-30.172650539328195
386,-28.546501419485274
387,-26.95939833067066
388,-25.430798108442808
389,-23.933835524995878
390,-22.47931902617895
391,-21.08283712783477
392,-19.74613765040592
393,-18.416099025815946
394,-17.14487714801262
395,-15.919253274235665
396,-14.767593161967191
397,-13.630598895406386
398,-12.552688453885388
399,-11.491661303925888
400,-10.467569748411528
401,-9.52499581496729
402,-8.609777971958259
403,-7.783235037030657
404,-6.983948927293817
405,-6.209933762624836
406,-5.528499275666739
407,-4.933302509285134
408,-4.36702048367308
409,-3.892652063867011
410,-3.470876961789848
411,-3.1165771611283826
412,-2.8216391204455458
413,-2.5574925041137457
414,-2.3966876914444337
415,-2.2962709342607677
416,-2.2931116302304626
417,-2.3443275183260748
418,-2.406679748121426
419,-2.579922072151724
420,-2.8200016205398906
421,-3.117850198472318
422,-3.4633751720523587
423,-3.898567339687609
424,-4.35170587223481
425,-4.825719896539361
426,-5.438864022025449
427,-6.024737152000419
428,-6.6921483730402755
429,-7.487165377922359
430,-8.383317049762603
431,-9.385825375521584
432,-10.403888984772514
433,-11.541639689733778
434,-12.874848704746476
435,-14.158838077112954
436,-15.453455137776722
437,-16.82687556521889
438,-18.3433106772467
439,-19.880340373842294
