N,lnPi(N)
0,-1040.751239661972
1,-1036.7984434658988
2,-1033.5427933947674
3,-1030.6995375024137
4,-1028.1013768582043
5,-1025.6772068255948
6,-1023.3504741900516
7,-1021.0731638429315
8,-1018.8024348900539
9,-1016.5268401711982
10,-1014.2366301361361
11,-1011.9207794729666
12,-1009.5705145166073
13,-1007.2028904359462
14,-1004.8119858589312
15,-1002.4093465851932
16,-999.9970827258206
17,-997.561529004586
18,-995.1285546106351
19,-992.6689255763006
20,-990.2005830213778
21,-987.7061231482801
22,-985.1952285944604
23,-982.6600213882473
24,-980.0901499095312
25,-977.4903802423132
26,-974.8579885155294
27,-972.180405881131
28,-969.460245024876
29,-966.6926619542859
30,-963.8711672475482
31,-960.983877296947
32,-958.0521371258491
33,-955.0573040948515
34,-952.0123959519715
35,-948.9455255264303
36,-945.8654463202377
37,-942.7969221051061
38,-939.7484193644258
39,-936.7233824944798
40,-933.7463789418099
41,-930.8062187857473
42,-927.9018094215879
43,-925.0512170590034
44,-922.2391810018662
45,-919.4692637022844
46,-916.749018020164
47,-914.0805885442564
48,-911.4374664128442
49,-908.8413883348667
50,-906.2797339086083
51,-903.7650413339055
52,-901.28350189907
53,-898.8284571463576
54,-896.398915580563
55,-893.9954905137195
56,-891.6185505675979
57,-889.2547309389829
58,-886.9098932919844
59,-884.5583388201779
60,-882.2058343194553
61,-879.8473290409452
62,-877.4686663251381
63,-875.0769840198038
64,-872.6267882953032
65,-870.1436187983093
66,-867.6266872491977
67,-865.0693720137559
68,-862.4654209007472
69,-859.8089669201977
70,-857.1048167755974
71,-854.3209063244705
72,-851.4818075190071
73,-848.6049310453834
74,-845.6985924003287
75,-842.7736947057163
76,-839.8415592301379
77,-836.9059205921237
78,-833.9819733208711
79,-831.0673161053103
80,-828.1746449745335
81,-825.2855338288716
82,-822.4052519184165
83,-819.5645810798918
84,-816.7449637751358
85,-813.942488099592
86,-811.1606956537373
87,-808.3975701838967
88,-805.6746058555104
89,-802.9770000162459
90,-800.2933229279741
91,-797.6303045567761
92,-794.9912191668825
93,-792.375322975993
94,-789.7843819294833
95,-787.2186047237558
96,-784.6731477566879
97,-782.1513150689314
98,-779.6490254025921
99,-777.1626222578484
100,-774.7079943059459
101,-772.2505539313062
102,-769.8111845745887
103,-767.3880439348401
104,-764.9821238554857
105,-762.5767427993253
106,-760.1758181820614
107,-757.769051021732
108,-755.3599528105527
109,-752.9348381096054
110,-750.4930451487098
111,-748.0130511445502
112,-745.4699056026731
113,-742.863938805383
114,-740.2043968497562
115,-737.4863704591692
116,-734.7178649355986
117,-731.9118296359379
118,-729.0528605598558
119,-726.1924957433657
120,-723.3362533691618
121,-720.4850376901678
122,-717.6418867420055
123,-714.805874028337
124,-711.9619557256025
125,-709.1363422374046
126,-706.3294408366837
127,-703.5399228367813
128,-700.7681361033997
129,-698.0064705524394
130,-695.2597362113522
131,-692.5267458513581
132,-689.7945602974539
133,-687.0769687740542
134,-684.3819185165214
135,-681.6929562752925
136,-679.0101220928094
137,-676.3403114939849
138,-673.6750775141691
139,-671.0114213792415
140,-668.3277678962651
141,-665.6349900065642
142,-662.7303560587866
143,-659.8046662390423
144,-656.8405957246143
145,-653.8614082776322
146,-650.8863488572515
147,-647.9125615339283
148,-644.9401446530778
149,-641.9728502762555
150,-639.0202606586847
151,-636.0720092377817
152,-633.142218932475
153,-630.2284974178813
154,-627.3324155255524
155,-624.448536420093
156,-621.5755544316505
157,-618.7274527431944
158,-615.8944661142516
159,-613.0882191434719
160,-610.296987850335
161,-607.5233805003566
162,-604.7677326347994
163,-602.0366065200415
164,-599.3194513215224
165,-596.5945149491572
166,-593.8804532145457
167,-591.1816213691584
168,-588.497626284054
169,-585.82417067606
170,-583.1625614332738
171,-580.5111846934144
172,-577.8759669757753
173,-575.3137991123835
174,-572.7574658733868
175,-570.2190377193658
176,-567.7040498946405
177,-565.1916663423439
178,-562.6996554948938
179,-560.2143361549761
180,-557.7229699468816
181,-555.2677150954553
182,-552.8217095709061
183,-550.3699865266658
184,-547.9021147041863
185,-545.4198328982889
186,-542.9078387509992
187,-540.3773573050962
188,-537.8126699814466
189,-535.107945564758
190,-532.3375679191497
191,-529.5305936001855
192,-526.6990040732975
193,-523.8511430880953
194,-520.9877027484696
195,-518.1175753109932
196,-515.2513479396184
197,-512.3961896754216
198,-509.54701890181093
199,-506.7002518515187
200,-503.8703983605319
201,-501.05687242335694
202,-498.2550130512835
203,-495.46483571673105
204,-492.663925155255
205,-489.87840738921625
206,-487.0931885193254
207,-484.31549820939006
208,-481.5490545378955
209,-478.7876580793376
210,-476.034167402731
211,-473.28149590392513
212,-470.52404856410465
213,-467.7663676400948
214,-464.9886064951354
215,-462.1969449999667
216,-459.39434703987695
217,-456.5707341447521
218,-453.73228944026187
219,-450.8763365145903
220,-448.01373998057966
221,-445.1395594542396
222,-442.2539451835969
223,-439.35847093464486
224,-436.45813344653675
225,-433.55636415316394
226,-430.66111419103777
227,-427.78723308281803
228,-424.9134067541386
229,-422.0430004710314
230,-419.1869817250132
231,-416.3313718513608
232,-413.49017366273085
233,-410.65877181969233
234,-407.8493030872378
235,-405.03867336995654
236,-402.2432416735396
237,-399.4541088466839
238,-396.67859164308754
239,-393.92000577924114
240,-391.16336315839374
241,-388.4148887487106
242,-385.6695928359294
243,-382.9513263156173
244,-380.2386930011752
245,-377.51969841106927
246,-374.79584676630896
247,-372.0727677101588
248,-369.3453083778211
249,-366.6080069153818
250,-363.86206037512306
251,-361.0566944748234
252,-358.2288604551766
253,-355.3672403302612
254,-352.4819397072763
255,-349.5735050966948
256,-346.6499174415559
257,-343.7192567387955
258,-340.78523544818256
259,-337.8840274666526
260,-334.9794632848019
261,-332.07154987448257
262,-329.1731601682126
263,-326.2929463196525
264,-323.43120179976154
265,-320.57324698934985
266,-317.739055835458
267,-314.91481869596544
268,-312.0982309876904
269,-309.30235725896534
270,-306.52247868450615
271,-303.75456278159015
272,-301.0052342094242
273,-298.27984772666525
274,-295.5693134834812
275,-292.8772195506907
276,-290.19583307812684
277,-287.52517983534676
278,-284.8622065267051
279,-282.2110259895918
280,-279.5702823850113
281,-276.9374087404085
282,-274.2817912097769
283,-271.619133708499
284,-268.94068380229317
285,-266.2472771175337
286,-263.5343296761615
287,-260.7832078494133
288,-258.0015718523083
289,-255.1833428895737
290,-252.2935071535421
291,-249.38998476786512
292,-246.47484529051152
293,-243.5645911896706
294,-240.66648946066434
295,-237.78241468359758
296,-234.90119417939533
297,-232.04464393748034
298,-229.19861301512705
299,-226.3565258673561
300,-223.5391201956472
301,-220.74091154031586
302,-217.95693831508171
303,-215.2018688708866
304,-212.46532045652984
305,-209.7584881206803
306,-207.05216925908698
307,-204.36497383664548
308,-201.6937930784247
309,-199.03666991309623
310,-196.3943887502853
311,-193.7729223066619
312,-191.16061431610726
313,-188.58136202111538
314,-185.99830351613443
315,-183.42350232249746
316,-180.87354790932372
317,-178.34203268200596
318,-175.82987497993005
319,-173.32978084970998
320,-170.83586245794547
321,-168.3315960948224
322,-165.82328308849364
323,-163.3332092274737
324,-160.84517160783398
325,-158.36723286252263
326,-155.89513328509153
327,-153.4449498046674
328,-151.01380343771982
329,-148.6069216942902
330,-146.19871370255348
331,-143.7957364531397
332,-141.41149659271613
333,-139.04625076086822
334,-136.69482999755698
335,-134.33743906430513
336,-131.99994795783718
337,-129.66530970027893
338,-127.32748316710055
339,-124.99854713265117
340,-122.68632386927354
341,-120.36423224906409
342,-118.05343325801798
343,-115.75256276054185
344,-113.4690522356021
345,-111.19791178334387
346,-108.93451970846738
347,-106.69091801775093
348,-104.45445315632057
349,-102.2249632809829
350,-99.99918537757478
351,-97.78154563574375
352,-95.58078107100525
353,-93.3757867290004
354,-91.19892119830624
355,-89.01499629154054
356,-86.84185964171374
357,-84.6793033234986
358,-82.5339926031954
359,-80.39748474230746
360,-78.25883132544399
361,-76.12875803135464
362,-74.0174969322729
363,-71.91914939431317
364,-69.84221349012248
365,-67.78549787663687
366,-65.74343395486014
367,-63.72361507680146
368,-61.696988797200426
369,-59.69494928810034
370,-57.70219235687123
371,-55.71273386402036
372,-53.74828361225807
373,-51.78278097970256
374,-49.83272591816215
375,-47.89306493458273
376,-46.01691219171992
377,-44.14399678708319
378,-42.311456203745344
379,-40.48725179496987
380,-38.67774625340369
381,-36.89726636224359
382,-35.179437249996546
383,-33.47133867428054
384,-31.768166134301715
385,-30.114627499409472
386,-28.472417811604124
387,-26.874666021315285
388,-25.338340735923204
389,-23.828514711178038
390,-22.36817035864349
391,-20.97250839465776
392,-19.628898249632563
393,-18.300767243456427
394,-17.01482888123892
395,-15.784541936426628
396,-14.612326280940557
397,-13.468280890152052
398,-12.41512977388286
399,-11.3610799186715
400,-10.3311563504137
401,-9.398588804771613
402,-8.493225190232785
403,-7.691953768620556
404,-6.924779739580322
405,-6.200793409268022
406,-5.531856536856345
407,-4.894826678413188
408,-4.333992544909029
409,-3.8812301355489813
410,-3.494599464684348
411,-3.1487201295994742
412,-2.8480583527898267
413,-2.6032086138090795
414,-2.4328408789801648
415,-2.3303090713136276
416,-2.2871856537753734
417,-2.3093891901864714
418,-2.3715935343009056
419,-2.537996931833937
420,-2.784454077376245
421,-3.0955367170890673
422,-3.496414039944489
423,-3.8845540457432213
424,-4.387877627131025
425,-4.84302980593518
426,-5.389588821039502
427,-5.991782353001304
428,-6.659722207817118
429,-7.469264023075289
430,-8.362553971441663
431,-9.331466652643464
432,-10.40785535489929
433,-11.569483415453284
434,-12.831693768287984
435,-14.05273916130043
436,-15.330499878622483
437,-16.801229940066698
438,-18.345384320496215
439,-19.811617979376912
