N,lnPi(N),U(N)
158,-4.409252688763854,-1435.9322169210354
159,-4.864365386449276,-1446.542234077555
160,-5.362187952127056,-1456.625974959301
161,-5.929262869127354,-1466.2202597456999
162,-6.559004567749253,-1475.9708637204167
163,-7.228902525403623,-1486.2357494826647
164,-7.959731174824765,-1496.6735777285285
165,-8.74957969140986,-1506.651746721458
166,-9.609941106036455,-1515.6169682901527
167,-10.514619348873918,-1525.8447153009038
168,-11.470816169119711,-1535.9119955123824
169,-12.482884729622594,-1545.0597899905842
170,-13.558856725094085,-1554.916387801757
171,-14.709189343604077,-1564.910988094147
172,-15.904210419063997,-1574.4681133598497
173,-17.1956206016638,-1584.1514383672911
174,-18.539326084608728,-1593.2781774023679
175,-19.9660810418688,-1602.9862938189617
176,-21.45047187505737,-1611.7610173296416
177,-22.986940195151714,-1621.661459077608
178,-24.594341343944517,-1631.944837111907
179,-26.271371707823743,-1641.2767111270805
180,-28.024067604526135,-1650.2066959481963
181,-29.861114651670174,-1660.5753679412592
182,-31.72203975415705,-1669.1265381690973
183,-33.70434046727458,-1677.3236624313795
184,-35.77508663671473,-1686.370464709733
185,-37.886789602993375,-1695.7635406826957
186,-40.08404182089886,-1704.1065040531103
187,-42.39117934467471,-1712.3780794903578
188,-44.75134275095151,-1721.4767035645273
189,-47.20132009289826,-1731.1565882797877
190,-49.72378004338579,-1740.0898735048468
191,-52.31807341753485,-1749.1289762324159
192,-54.979582377545015,-1757.456619466946
193,-57.750428011045656,-1765.481160484036
194,-60.599306574567166,-1773.1824709409557
195,-63.50623710010264,-1781.4087181388313
196,-66.5410299816336,-1790.9720349584168
197,-69.65388385276619,-1799.5419771268935
198,-72.8770040572311,-1808.025297240798
199,-76.14517040895568,-1814.7092798024241
200,-79.58261277676219,-1823.0571377687593
201,-83.10905521673995,-1830.9608104981671
202,-86.71572422529404,-1837.6533055747132
203,-90.36960517516697,-1845.9074660439
204,-94.11667253532995,-1854.00497448822
205,-98.01968208734458,-1861.911180269526
206,-102.02275264035627,-1866.7586406990376
207,-106.19069152311364,-1874.0035692346719
208,-110.40667341861918,-1879.8208789220807
209,-114.78301168271618,-1886.9972448351837
210,-119.16547892835065,-1892.2465924244898
211,-123.68732970672956,-1899.5537451477794
212,-128.4034948183487,-1905.6714095563948
213,-133.24761747181606,-1911.3244764787814
214,-138.13313576554776,-1917.9767604568187
215,-143.1868054477864,-1922.8099503382618
216,-148.31118610079136,-1926.5812296445729
217,-153.60490517522854,-1933.5170366497478
218,-159.0097780240615,-1938.3190355405677
219,-164.46235488849013,-1945.7945478459442
220,-169.9994628691818,-1952.6874354422398
221,-175.6855358885626,-1957.6486742873167
222,-181.59363139524416,-1963.2059381622603
