N,lnPi(N),U(N)
103,-35.49415499332768,-1425.0559484083205
104,-34.38259308562236,-1442.374118634325
105,-33.281419079611524,-1459.8700114862477
106,-32.19334866088728,-1477.5401161452937
107,-31.12318352500883,-1494.8252185762249
108,-30.063545530628506,-1512.2754361229454
109,-29.018196749752708,-1530.2068766433695
110,-27.991300778584804,-1548.255421934533
111,-26.978834652624517,-1566.3567594653869
112,-25.983895998653043,-1584.6179546089443
113,-25.0028868251615,-1602.9906764034931
114,-24.03473870114941,-1621.6229341179023
115,-23.085982142753398,-1640.5222180607052
116,-22.148980084861325,-1659.2143555807343
117,-21.228878752704578,-1677.9433464677786
118,-20.322807510860617,-1696.7745692925419
119,-19.430827321601118,-1715.7379061252577
120,-18.560889777827573,-1734.90359045878
121,-17.710561377190704,-1753.7217513701544
122,-16.877059578312288,-1772.57943644033
123,-16.061870777424264,-1792.032932387203
124,-15.262402007023912,-1811.4208236147824
125,-14.483785681556459,-1831.0580907599979
126,-13.724134454813157,-1850.709433539556
127,-12.982981370452496,-1870.6096959204988
128,-12.26503866309874,-1890.4676961655678
129,-11.573519938997567,-1910.6340465615976
130,-10.905230504838006,-1930.8812310293324
131,-10.255717128408396,-1951.4712826730465
132,-9.62340115870332,-1972.1402494346912
133,-9.011287233935139,-1992.8528406229816
134,-8.425794833952398,-2013.8739828772887
135,-7.866709214693817,-2035.1356533339713
136,-7.323984524372822,-2056.2826528457335
137,-6.80651063088327,-2077.513555251393
138,-6.321143615834377,-2098.7372076045176
139,-5.8530524497782785,-2120.1659239739092
140,-5.415274731594867,-2141.8033212907794
141,-5.008190104011067,-2162.5785746197
142,-4.633132888329232,-2183.7686743311024
143,-4.287045659837151,-2205.7181695899963
144,-3.9694607526496273,-2227.497450073817
145,-3.6784076006189994,-2249.8835716577487
146,-3.424231495284079,-2272.0189750065365
147,-3.1982098977139404,-2295.2161650547787
148,-2.9974484667294408,-2318.604068897115
149,-2.8350598365010344,-2341.2608317049744
150,-2.7085967462283977,-2364.0480423918707
151,-2.6164082516147746,-2387.298909478064
152,-2.5632732270827208,-2410.406778678622
153,-2.5439412097569973,-2433.014623639665
154,-2.5699327563376246,-2455.645080795952
155,-2.638495382374305,-2479.1795799911633
156,-2.7434180723961563,-2502.9198556196643
157,-2.8904321992167357,-2526.694135913902
158,-3.074719783838947,-2550.613011570884
159,-3.3071738283949403,-2575.3950534582145
160,-3.577099969900121,-2601.1593875369144
161,-3.8951249568275332,-2625.350005449447
162,-4.259124355301868,-2649.662321154079
163,-4.656875273585104,-2674.3768748088623
164,-5.1134820607276374,-2698.5766607867263
165,-5.619900801557936,-2722.271928663209
166,-6.1823149814075755,-2746.0214571956967
167,-6.786017037079166,-2771.4366212229543
168,-7.43642044741269,-2796.92670940483
169,-8.13672479761603,-2821.860451342174
170,-8.91390980692002,-2846.7709424003006
171,-9.737970753608625,-2873.600262306478
172,-10.60696967860638,-2900.1798249554377
173,-11.53749634072533,-2925.485967791021
174,-12.53995669967755,-2950.5040758918803
175,-13.612627921217115,-2976.158489123205
176,-14.74828000555856,-3000.6224164600753
177,-15.950499173633762,-3026.4697370747017
178,-17.21773684101085,-3052.2988305960607
179,-18.54244924059397,-3078.5354834835925
180,-19.951314218381658,-3103.9511997320515
181,-21.42831681401488,-3129.4597377568934
182,-22.97642306770725,-3156.0583132814027
183,-24.542697860751264,-3184.4700558027253
184,-26.22954275927778,-3210.7891404782604
185,-27.978827951541735,-3237.481495166394
186,-29.818062351087452,-3265.376648204372
187,-31.73472044785071,-3292.803062120329
188,-33.7131414131954,-3319.3769426070394
189,-35.78665809300746,-3346.2153384153753
190,-37.97188487840101,-3372.590062238298
191,-40.21533622336055,-3398.830025710624
192,-42.536215536127045,-3425.903808095354
193,-44.91802770003714,-3454.545408929749
194,-47.37818141811523,-3480.9419329986813
195,-49.941853013192556,-3507.986455496226
196,-52.623868637504515,-3534.2356836811414
197,-55.42480392250057,-3558.627308990457
198,-58.32583280138725,-3586.171557663096
199,-61.32543818513234,-3615.4783244050086
200,-64.409923288662,-3641.6422319241065
201,-67.58652844597863,-3671.043111950861
202,-70.85259640235118,-3699.2615843839085
203,-74.21076110153543,-3725.5514943946146
204,-77.72868824646172,-3755.1445050118673
205,-81.29956903319275,-3783.819993051282
206,-84.94044554311814,-3813.9255709735407
207,-88.7070192698916,-3838.3731658132165
208,-92.65353071564881,-3867.4092442517613
209,-96.62488290541243,-3895.0221762152432
210,-100.68607711173426,-3925.0785368524594
211,-104.83795552949037,-3952.0298620545364
212,-109.16759887673352,-3975.6491848582846
213,-113.70239690653266,-4000.888103120724
214,-118.26653197946403,-4034.800356818232
215,-122.96593113014303,-4059.311827504658
216,-127.80838932378752,-4085.542842754374
217,-132.85122097110562,-4112.865639295582
218,-138.17341367746235,-4142.3737852425
219,-143.48900441841877,-4165.524932838296
220,-148.85729396106058,-4193.6592532879295
221,-154.30290641232324,-4218.421087237599
222,-159.73338252306368,-4246.509666110287
223,-165.51375764541098,-4272.895050620231
224,-171.43825418401036,-4293.6275775626455
