   T*            lnz         +/-        psat          +/-       rho_v       +/-        rho_l        +/-          u_v         +/-          u_l         +/- 
1.165E+00  -3.145343E+00  2.60E-05  6.498396E-02  3.91E-06  8.099615E-02  5.40E-06  5.935530E-01  4.34E-05  -7.014679E-01  4.43E-05  -4.084587E+00  2.91E-04 
1.166E+00  -3.141944E+00  2.60E-05  6.531269E-02  3.97E-06  8.148205E-02  5.57E-06  5.927481E-01  4.32E-05  -7.053257E-01  4.59E-05  -4.078838E+00  2.90E-04 
1.167E+00  -3.138553E+00  2.60E-05  6.564259E-02  4.04E-06  8.197122E-02  5.74E-06  5.919403E-01  4.31E-05  -7.092089E-01  4.75E-05  -4.073074E+00  2.89E-04 
1.168E+00  -3.135170E+00  2.59E-05  6.597367E-02  4.10E-06  8.246372E-02  5.92E-06  5.911295E-01  4.30E-05  -7.131177E-01  4.91E-05  -4.067293E+00  2.87E-04 
1.169E+00  -3.131794E+00  2.59E-05  6.630594E-02  4.16E-06  8.295957E-02  6.10E-06  5.903156E-01  4.29E-05  -7.170525E-01  5.05E-05  -4.061496E+00  2.87E-04 
1.170E+00  -3.128426E+00  2.59E-05  6.663938E-02  4.22E-06  8.345883E-02  6.29E-06  5.894987E-01  4.28E-05  -7.210135E-01  5.21E-05  -4.055683E+00  2.86E-04 
1.171E+00  -3.125065E+00  2.58E-05  6.697402E-02  4.29E-06  8.396154E-02  6.49E-06  5.886786E-01  4.28E-05  -7.250015E-01  5.38E-05  -4.049853E+00  2.85E-04 
1.172E+00  -3.121713E+00  2.57E-05  6.730984E-02  4.35E-06  8.446776E-02  6.68E-06  5.878554E-01  4.28E-05  -7.290170E-01  5.52E-05  -4.044006E+00  2.85E-04 
1.173E+00  -3.118368E+00  2.57E-05  6.764686E-02  4.41E-06  8.497752E-02  6.87E-06  5.870290E-01  4.28E-05  -7.330603E-01  5.66E-05  -4.038142E+00  2.85E-04 
1.174E+00  -3.115031E+00  2.56E-05  6.798507E-02  4.47E-06  8.549088E-02  7.06E-06  5.861994E-01  4.29E-05  -7.371318E-01  5.79E-05  -4.032261E+00  2.85E-04 
1.175E+00  -3.111701E+00  2.55E-05  6.832449E-02  4.54E-06  8.600788E-02  7.24E-06  5.853665E-01  4.30E-05  -7.412321E-01  5.92E-05  -4.026363E+00  2.85E-04 
1.176E+00  -3.108379E+00  2.54E-05  6.866511E-02  4.60E-06  8.652858E-02  7.42E-06  5.845302E-01  4.31E-05  -7.453615E-01  6.03E-05  -4.020446E+00  2.85E-04 
1.177E+00  -3.105064E+00  2.52E-05  6.900693E-02  4.66E-06  8.705303E-02  7.59E-06  5.836905E-01  4.32E-05  -7.495206E-01  6.14E-05  -4.014512E+00  2.86E-04 
1.178E+00  -3.101757E+00  2.51E-05  6.934997E-02  4.72E-06  8.758128E-02  7.76E-06  5.828474E-01  4.34E-05  -7.537099E-01  6.24E-05  -4.008559E+00  2.87E-04 
1.179E+00  -3.098458E+00  2.50E-05  6.969421E-02  4.78E-06  8.811340E-02  7.92E-06  5.820008E-01  4.36E-05  -7.579300E-01  6.32E-05  -4.002588E+00  2.88E-04 
1.180E+00  -3.095166E+00  2.48E-05  7.003968E-02  4.83E-06  8.864944E-02  8.07E-06  5.811506E-01  4.38E-05  -7.621815E-01  6.40E-05  -3.996598E+00  2.89E-04 
1.181E+00  -3.091881E+00  2.47E-05  7.038636E-02  4.89E-06  8.918946E-02  8.22E-06  5.802968E-01  4.40E-05  -7.664649E-01  6.47E-05  -3.990589E+00  2.90E-04 
1.182E+00  -3.088604E+00  2.45E-05  7.073427E-02  4.94E-06  8.973352E-02  8.35E-06  5.794394E-01  4.42E-05  -7.707808E-01  6.53E-05  -3.984561E+00  2.91E-04 
1.183E+00  -3.085335E+00  2.43E-05  7.108340E-02  5.00E-06  9.028169E-02  8.48E-06  5.785781E-01  4.45E-05  -7.751299E-01  6.59E-05  -3.978512E+00  2.92E-04 
1.184E+00  -3.082073E+00  2.42E-05  7.143376E-02  5.05E-06  9.083403E-02  8.60E-06  5.777131E-01  4.47E-05  -7.795129E-01  6.63E-05  -3.972444E+00  2.94E-04 
1.185E+00  -3.078818E+00  2.40E-05  7.178536E-02  5.10E-06  9.139062E-02  8.72E-06  5.768442E-01  4.49E-05  -7.839304E-01  6.66E-05  -3.966355E+00  2.95E-04 
1.186E+00  -3.075570E+00  2.38E-05  7.213819E-02  5.15E-06  9.195152E-02  8.82E-06  5.759713E-01  4.51E-05  -7.883832E-01  6.69E-05  -3.960245E+00  2.96E-04 
1.187E+00  -3.072330E+00  2.36E-05  7.249226E-02  5.20E-06  9.251681E-02  8.92E-06  5.750943E-01  4.53E-05  -7.928719E-01  6.71E-05  -3.954115E+00  2.97E-04 
1.188E+00  -3.069098E+00  2.34E-05  7.284758E-02  5.24E-06  9.308656E-02  9.00E-06  5.742133E-01  4.55E-05  -7.973974E-01  6.72E-05  -3.947962E+00  2.99E-04 
1.189E+00  -3.065872E+00  2.32E-05  7.320414E-02  5.29E-06  9.366077E-02  8.96E-06  5.733280E-01  4.56E-05  -8.019583E-01  6.45E-05  -3.941787E+00  3.00E-04 
1.190E+00  -3.062654E+00  2.30E-05  7.356196E-02  5.33E-06  9.423958E-02  9.07E-06  5.724384E-01  4.58E-05  -8.065571E-01  6.61E-05  -3.935590E+00  3.01E-04 
1.191E+00  -3.059443E+00  2.28E-05  7.392103E-02  5.37E-06  9.482318E-02  9.12E-06  5.715445E-01  4.59E-05  -8.111971E-01  6.59E-05  -3.929371E+00  3.01E-04 
1.192E+00  -3.056239E+00  2.26E-05  7.428136E-02  5.41E-06  9.541157E-02  9.16E-06  5.706462E-01  4.59E-05  -8.158771E-01  6.56E-05  -3.923128E+00  3.02E-04 
1.193E+00  -3.053043E+00  2.24E-05  7.464295E-02  5.45E-06  9.600456E-02  9.30E-06  5.697430E-01  4.60E-05  -8.205914E-01  6.67E-05  -3.916860E+00  3.02E-04 
1.194E+00  -3.049854E+00  2.22E-05  7.500581E-02  5.49E-06  9.660277E-02  9.34E-06  5.688354E-01  4.60E-05  -8.253535E-01  6.64E-05  -3.910569E+00  3.02E-04 
1.195E+00  -3.046671E+00  2.20E-05  7.536994E-02  5.53E-06  9.720605E-02  9.37E-06  5.679231E-01  4.59E-05  -8.301584E-01  6.61E-05  -3.904254E+00  3.02E-04 
1.196E+00  -3.043496E+00  2.18E-05  7.573535E-02  5.56E-06  9.781448E-02  9.39E-06  5.670060E-01  4.58E-05  -8.350070E-01  6.58E-05  -3.897913E+00  3.02E-04 
1.197E+00  -3.040329E+00  2.16E-05  7.610203E-02  5.60E-06  9.842818E-02  9.40E-06  5.660839E-01  4.57E-05  -8.399004E-01  6.54E-05  -3.891547E+00  3.01E-04 
1.198E+00  -3.037168E+00  2.14E-05  7.647000E-02  5.63E-06  9.904726E-02  9.41E-06  5.651568E-01  4.56E-05  -8.448396E-01  6.50E-05  -3.885155E+00  3.00E-04 
1.199E+00  -3.034014E+00  2.12E-05  7.683926E-02  5.67E-06  9.967180E-02  9.41E-06  5.642245E-01  4.54E-05  -8.498258E-01  6.46E-05  -3.878736E+00  2.99E-04 
1.200E+00  -3.030868E+00  2.10E-05  7.720980E-02  5.70E-06  1.003019E-01  9.41E-06  5.632870E-01  4.51E-05  -8.548601E-01  6.42E-05  -3.872289E+00  2.98E-04 
