N,lnPi(N),U(N)
112,-338.31137817984063,-2401.970347603841
113,-335.14271714511005,-2424.5521370081697
114,-331.9936120876001,-2446.8966814282467
115,-328.85657954984015,-2469.039363431337
116,-325.7366489911293,-2491.084721741441
117,-322.63146998390846,-2513.283511865244
118,-319.54689493086426,-2535.3234185751644
119,-316.4763062730983,-2557.281009439437
120,-313.42014499231857,-2579.1113680602866
121,-310.38225750814377,-2601.3249200274004
122,-307.3605010413527,-2623.5337212913437
123,-304.3640625273845,-2645.449913433753
124,-301.3756700318877,-2667.525838762929
125,-298.40603473608815,-2689.477398292569
126,-295.45079367673236,-2711.7178611843847
127,-292.5086265885918,-2733.680386341701
128,-289.5900838994173,-2755.581092242908
129,-286.6863099879097,-2777.7896854945575
130,-283.79669887353157,-2799.897092228057
131,-280.9248101400161,-2821.872275926289
132,-278.0708930010891,-2843.811265147873
133,-275.22728423463013,-2865.8800064247334
134,-272.4014023513661,-2888.2826618450345
135,-269.5939557295578,-2910.464084878564
136,-266.79609710813054,-2932.7215962550254
137,-264.01035414439104,-2954.8332975523663
138,-261.24355282608053,-2976.728608800273
139,-258.50466448641976,-2998.515259332431
140,-255.77480091072582,-3020.6168445399962
141,-253.06063057980325,-3042.498364149127
142,-250.35833216441458,-3065.5641219351673
143,-247.66726346839832,-3088.6378243606305
144,-244.99186480298792,-3110.7849952167016
145,-242.33111112328842,-3132.9489233140484
146,-239.6893141554992,-3155.083192971011
147,-237.05897266097506,-3177.2509284233092
148,-234.44662463883478,-3199.384211459488
149,-231.84936375766912,-3220.596704006486
150,-229.26884034767315,-3241.7510953513556
151,-226.7061781270506,-3263.98602034722
152,-224.15757412014838,-3286.290518587455
153,-221.62834308835224,-3308.3239338317653
154,-219.1069427476195,-3330.5536017720005
155,-216.5969991873803,-3352.9200885569444
156,-214.10326435599254,-3375.0783203747123
157,-211.62315820994613,-3397.326014956052
158,-209.1595744015652,-3419.8419289730373
159,-206.713109387711,-3442.093846288044
160,-204.27399514735154,-3464.5847396121826
161,-201.85193750218897,-3486.484494378499
162,-199.45077717799947,-3508.602933490067
163,-197.06339037952702,-3530.788959132973
164,-194.6933509922862,-3551.7061657918384
165,-192.33636861397108,-3572.284379759454
166,-189.99767299026516,-3594.5405816798448
167,-187.66918144075836,-3616.713022026117
168,-185.3606968790701,-3638.6725020317244
169,-183.0628219682387,-3660.3483477843693
170,-180.77560167670683,-3682.143584159494
171,-178.50923381415598,-3704.570830973331
172,-176.2510038315174,-3727.876917284797
173,-174.00731067333285,-3751.212345697044
174,-171.77334949521273,-3773.0524658241775
175,-169.55541621832432,-3795.3078019669047
176,-167.35643708868187,-3817.828263692383
177,-165.17025129256055,-3840.0289330642554
178,-162.99529933506616,-3862.1214131643646
179,-160.8359898570619,-3882.9599989221897
180,-158.68586937896734,-3904.0145564466366
181,-156.55112690788255,-3925.995532960107
182,-154.43017897079218,-3948.0110861744615
183,-152.32371558527436,-3970.2364102652646
184,-150.22802645266037,-3992.498028101283
185,-148.15130872865106,-4014.6802052565035
186,-146.0848707131017,-4036.818912297953
187,-144.03754250971164,-4059.5484823121224
188,-142.0045904087826,-4082.2025808839826
189,-139.98359587070613,-4103.95210622903
190,-137.9741724395138,-4126.079913665133
191,-135.98203785082544,-4148.232487164903
192,-134.00646903347317,-4170.425147046393
193,-132.04631746932293,-4192.522877816868
194,-130.0990167790736,-4214.658564349986
195,-128.16577561564904,-4237.031836135604
196,-126.24605530321809,-4259.61743764265
197,-124.33836328972767,-4281.573823522776
198,-122.44130532181326,-4304.102389860142
199,-120.55635825438388,-4326.227515545732
200,-118.68461698613838,-4348.557664473017
201,-116.82770087422419,-4370.9173779903795
202,-114.98467303584094,-4393.450188829738
203,-113.15410043695861,-4415.414241051592
204,-111.34071622822749,-4437.244923675025
205,-109.54477719965381,-4458.912612500251
206,-107.756631548796,-4480.890295709774
207,-105.99210307570512,-4502.974820436095
208,-104.23914037772919,-4524.909188209334
209,-102.49975944451101,-4546.521723356855
210,-100.76781318667518,-4568.085885369917
211,-99.05337240270897,-4589.689501987945
212,-97.3552273216827,-4611.927895876463
213,-95.66990212909512,-4634.161268856726
214,-93.99777211325873,-4656.488994193263
215,-92.33541319042148,-4678.6935392005835
216,-90.6891382140643,-4700.787030461128
217,-89.058232541263,-4724.317372844496
218,-87.44161539775119,-4747.494150709244
219,-85.83535987793196,-4769.57620328234
220,-84.24327917044182,-4791.757257317193
221,-82.66782651633478,-4814.167944389279
222,-81.101978056677,-4836.497448823124
223,-79.54698851973124,-4858.81929020345
224,-78.00988136932675,-4880.59463397105
225,-76.49574140082608,-4902.38583534566
226,-74.98676217166324,-4924.329851521761
227,-73.49758973969129,-4946.314236806822
228,-72.01449218449066,-4968.472516230599
229,-70.55326404498145,-4990.472357503255
230,-69.09989393211161,-5012.591828040138
