N,lnPi(N)
0,-0.051585745288572904
1,-3.0694218568644978
2,-6.025366373292668
3,-7.957375154776061
4,-7.7217290407834644
5,-8.424068016657417
6,-9.70518201107803
7,-10.73542129659927
8,-11.5418812631442
9,-12.246932263190686
10,-12.807657920972943
11,-13.194304690142848
12,-13.475919238711999
13,-13.639058172126433
14,-13.722685851455635
15,-13.743456947905866
16,-13.66773639319548
17,-13.531064343876157
18,-13.319013516857783
19,-13.056557274216713
20,-12.756380270109664
21,-12.399401447188952
22,-12.006655938307839
23,-11.602891559988446
24,-11.21083484843624
25,-10.827374305096447
26,-10.49844984728236
27,-10.25927448676704
28,-10.099828433233911
29,-10.058073446547827
30,-10.17285105831199
31,-10.528364236169175
32,-11.19432634841364
33,-12.20493198845644
34,-13.551773632716415
35,-15.182560622486093
36,-16.88266115598678
37,-18.29206935819478
38,-19.331691819227974
39,-20.16150133470906
40,-20.827138308278876
41,-21.26304509898531
42,-21.502187850370845
43,-21.594532647169007
44,-21.563007912326963
45,-21.450170694371675
46,-21.286815998549162
47,-21.07968339754296
48,-20.822277112870722
49,-20.55079000435413
50,-20.258524440534458
51,-19.979761174398686
52,-19.71098304523066
53,-19.47140129319165
54,-19.265002486857465
55,-19.115239005686202
56,-18.99320738139077
57,-18.93673163737001
58,-18.94946930757126
59,-19.036376958825503
60,-19.224997045657258
61,-19.533284197764004
62,-19.952085288269874
63,-20.487143591946705
64,-21.157696322974886
65,-21.970796197526205
66,-22.945139438252056
67,-24.069691918267992
68,-25.330430847616483
69,-26.633635935198306
70,-27.83457252488731
71,-28.73837502998642
72,-29.242752546381258
73,-29.39024258198224
74,-29.347948340052728
75,-29.21627291222799
76,-29.03488888656282
77,-28.837376340669564
78,-28.6320710057022
79,-28.418756431926873
80,-28.20961584643224
81,-28.03642076042676
82,-27.896764285299376
83,-27.7662112527416
84,-27.681435591349782
85,-27.628148652490015
86,-27.626765202633546
87,-27.651245264755467
88,-27.70774213942746
89,-27.80955647803871
