N,lnPi(N)
247,-65.21942928051114
248,-65.37820966459593
249,-65.5569057720175
250,-65.7674670710641
251,-65.99376666004746
252,-66.2645798777311
253,-66.50179191502312
254,-66.76477058027247
255,-67.04641848066365
256,-67.35092236496716
257,-67.67061910396984
258,-67.98581968696237
259,-68.30464695497373
260,-68.6116925460844
261,-68.74288858540532
262,-68.85162142647589
263,-68.93732267006133
264,-68.9828742670285
265,-68.97196499215609
266,-68.93662144399454
267,-68.88788794189901
268,-68.85042943863425
269,-68.78908926099541
270,-68.74417455195848
271,-68.71990895542493
272,-68.69217002275042
273,-68.69725623601329
274,-68.7184021212321
275,-68.74059481531073
276,-68.77923452152741
277,-68.83136629550025
278,-68.89929347348699
279,-68.98613401128314
280,-69.09079162813303
281,-69.22308320738406
282,-69.36533905222952
283,-69.52888142141799
284,-69.67982986598064
285,-69.84698381173503
286,-70.0205993433178
287,-70.20750119989873
288,-70.3995824194234
289,-70.60834710607949
290,-70.79247285384447
291,-70.98396970112756
292,-71.2244612643532
293,-71.45636327348127
294,-71.68167655390127
295,-71.88298104086006
296,-72.11127028531402
297,-72.30659357094436
298,-72.51229109171135
299,-72.69434229989913
300,-72.6349401386929
301,-72.59202427017853
302,-72.55638276815733
303,-72.53245026746733
304,-72.52415701471038
305,-72.52842823967315
306,-72.5433845038539
307,-72.5640722854286
308,-72.59514061346037
309,-72.6321211023472
310,-72.68084948285029
311,-72.74390085936464
312,-72.81591711538483
313,-72.91154485109504
314,-73.02520799676333
315,-73.15809852955094
316,-73.28930914234536
317,-73.42540547228776
318,-73.5812342717569
319,-73.74875821429535
320,-73.92634408812178
321,-74.12086368901355
322,-74.32390633103144
323,-74.5225578192016
324,-74.74686655330073
325,-74.96425858321123
326,-75.17744521463295
327,-75.37351276613825
328,-75.5380607914977
329,-75.67747281865496
330,-75.8003179584723
331,-75.90567184486656
332,-76.05614373605427
333,-76.18923706516529
334,-76.28838015836318
335,-76.35339300235057
336,-76.39619357182087
337,-76.41799377794464
338,-76.43301032622892
339,-76.43911470940505
340,-76.4412201577101
341,-76.45832889417224
342,-76.48559383316686
343,-76.51977401609987
344,-76.57379495467217
345,-76.64439905622703
346,-76.7166824743067
347,-76.80816615630116
348,-76.91414040394542
349,-77.0314665565777
350,-77.14972175939536
351,-77.28065379528906
352,-77.42577867799648
353,-77.593675965029
354,-77.77487935460874
355,-77.956427565379
356,-78.14882759082136
357,-78.35182115593992
358,-78.56303002152524
359,-78.77894680987464
360,-78.99779906156287
361,-79.22092598347675
