N,lnPi(N)
0,-0.05158651316250658
1,-3.0696961147556565
2,-6.022813921886351
3,-7.953056886698869
4,-7.726030988809593
5,-8.425164340977965
6,-9.70125698425745
7,-10.717554297440111
8,-11.533517673509815
9,-12.235251415521113
10,-12.793953624181475
11,-13.179646277292054
12,-13.46531200717773
13,-13.631445794670837
14,-13.717389810957108
15,-13.736264520702557
16,-13.654218040909969
17,-13.514401823311681
18,-13.30490697080127
19,-13.055479411616439
20,-12.74554540926721
21,-12.387155879314845
22,-11.99178736644874
23,-11.595898554053061
24,-11.20831884845828
25,-10.821439810726046
26,-10.482593344613287
27,-10.228890062900946
28,-10.068740611850453
29,-10.021589927797374
30,-10.148108295551195
31,-10.49530651959777
32,-11.177512206887412
33,-12.189234685016544
34,-13.54223936349779
35,-15.188646322994591
36,-16.8881247688576
37,-18.306458756955053
38,-19.342383998351742
39,-20.18356042922813
40,-20.847826060849442
41,-21.288129015607517
42,-21.525152598055897
43,-21.62353735626435
44,-21.582610282358466
45,-21.455851723694394
46,-21.282201090408897
47,-21.065769852303195
48,-20.808436900517613
49,-20.54289186259064
50,-20.25827025353757
51,-19.98020161254799
52,-19.722410975026868
53,-19.490064325416995
54,-19.286434211473132
55,-19.13019929419089
56,-19.007036497491463
57,-18.940318031493508
58,-18.936317914436447
59,-18.999360054900045
60,-19.164433230218663
61,-19.45114771288991
62,-19.837006873788418
63,-20.354071632999627
64,-21.052925748191917
65,-21.89576464242315
66,-22.91428484846547
67,-24.060171414700825
68,-25.329368568534644
69,-26.645194038515314
70,-27.833720863907445
71,-28.69568416740624
72,-29.230790324060813
73,-29.382656689715837
74,-29.335175840739254
75,-29.203308309301036
76,-29.016872870106013
77,-28.822907090979704
78,-28.62079998080751
79,-28.411266790714052
80,-28.196368365285448
81,-28.027953736846385
82,-27.896034153573964
83,-27.765900991008547
84,-27.67298356075412
85,-27.61426532832321
86,-27.602239174311404
87,-27.628827518706707
88,-27.688079705876913
89,-27.800250937395216
90,-27.97235521014935
91,-28.213950622452163
92,-28.532143616657812
93,-28.925131935007634
94,-29.367252784997806
95,-29.913935533683375
96,-30.582638929364663
97,-31.31692582105385
98,-32.14646941515908
99,-33.081532456032356
100,-34.12657516242555
101,-35.230197848269604
102,-36.34785236276247
103,-37.07117436324039
104,-37.363475567057456
105,-37.36320925099853
106,-37.22653372079565
107,-37.06473436762159
108,-36.91069529037492
109,-36.74742458429977
110,-36.58159964133198
111,-36.48480054116726
112,-36.415561891324174
113,-36.37571963812419
114,-36.357766516265045
115,-36.355255956719
116,-36.39737922466681
117,-36.467499945766455
118,-36.55311214438044
119,-36.65000132339663
120,-36.793897423595205
121,-36.97715980505667
122,-37.210118145491656
123,-37.49486253456778
124,-37.81900396916355
125,-38.225768807994925
126,-38.67658035821384
127,-39.18794508224883
128,-39.769482459648884
129,-40.42761557433921
130,-41.16228961939883
131,-41.97342887380792
132,-42.81706082097272
133,-43.69083490377921
134,-44.552518491056325
135,-45.03983235317309
136,-45.26208632648058
137,-45.27581225954086
138,-45.196309427189284
139,-45.0728131745901
140,-44.933599799436266
141,-44.8163412393186
142,-44.728043091791825
143,-44.6842362782139
144,-44.65694291573891
145,-44.65384225160284
146,-44.67827890695929
147,-44.70999509909687
148,-44.77492994981185
149,-44.88661922813277
150,-45.00956726617955
151,-45.147281132586905
152,-45.315161471151896
153,-45.521050303324344
154,-45.775677331340106
155,-46.036149267565904
156,-46.35792141606454
157,-46.73527333197869
158,-47.156330397644474
159,-47.603686562955964
160,-48.116045784066316
161,-48.665863737084074
162,-49.25497656229994
163,-49.90950460279185
164,-50.609817909803944
165,-51.35125040330953
166,-51.658279364733936
167,-51.855262737994316
168,-51.94737056753648
169,-51.949629378526744
170,-51.89355042143969
171,-51.791196894020494
172,-51.70815363946075
173,-51.622286557700285
174,-51.56650629660204
175,-51.50913460441335
176,-51.50512503950175
177,-51.515339211531945
178,-51.565548064216124
179,-51.62576651853911
180,-51.71245225084568
181,-51.825369030511766
182,-51.957775808093054
183,-52.102094622623845
184,-52.281035893932575
185,-52.496858125852214
186,-52.74688305586741
187,-53.01143804470226
188,-53.3283879219169
189,-53.677713727735465
190,-54.08395738081264
191,-54.51467828697713
192,-54.99908079879668
193,-55.52350815571687
194,-56.04244703002751
195,-56.62332935722108
196,-57.22619107468075
197,-57.885657354613606
198,-58.21758723266788
199,-58.48151751445954
200,-58.65516903099717
201,-58.723107551932166
202,-58.75186922927176
203,-58.73307809819525
204,-58.684625385423985
205,-58.61397330972195
206,-58.60501944617728
207,-58.59591692560314
208,-58.5971729336137
209,-58.626590003342606
210,-58.67572469947946
211,-58.759981152678435
212,-58.86608910237748
213,-58.991680397049066
214,-59.13183237766818
215,-59.27553953576974
216,-59.434337298389764
217,-59.62980084530838
218,-59.86034977925893
219,-60.09884990072564
220,-60.3505911524239
221,-60.639686229510815
222,-60.963876622585595
223,-61.3262358813418
224,-61.71269927194426
225,-62.1243011884488
226,-62.57482884251791
227,-63.01994688339622
228,-63.52045723193189
229,-63.84679110190012
230,-64.14062947208399
231,-64.36531978310106
232,-64.51619585874451
233,-64.6096754417738
234,-64.62813276970881
235,-64.62723670859981
236,-64.59900784586638
237,-64.56000956461044
238,-64.53142058607311
239,-64.53162127368573
240,-64.5461366808006
241,-64.56550448685849
242,-64.6082725917323
243,-64.6613021347018
244,-64.7289291328085
245,-64.83947192173636
246,-64.94478685057845
247,-65.06652267449181
