N,lnPi(N),U(N)
218,-158.9246493122547,-611.027777047726
219,-160.5558605033669,-616.5789776969393
220,-162.19654806126613,-622.1635224421951
221,-163.84634839438468,-627.7142814382827
222,-165.50481297877616,-633.3327623700512
223,-167.1717237107871,-638.9893197039413
224,-168.84679074064945,-644.6655739417284
225,-170.53216590166548,-650.3488460153518
226,-172.22544148158124,-656.0626744932276
227,-173.92855781772204,-661.8224135180167
228,-175.64081399313153,-667.607755139481
229,-177.3617125147669,-673.3753936017125
230,-179.09316702588313,-679.1993057143515
231,-180.8338471609569,-685.0371485488247
232,-182.5839856148624,-690.9110922487881
233,-184.34353028886827,-696.8036753014985
234,-186.11273739941998,-702.7038882094823
235,-187.89045268503818,-708.6513502241129
236,-189.67736354893214,-714.6190637715619
237,-191.4747650757193,-720.596815522296
238,-193.28030653791146,-726.616640536554
239,-195.09643351005914,-732.6440324068502
240,-196.92346514574805,-738.7283284105652
241,-198.7595814959537,-744.8201041865262
242,-200.6051002583684,-750.9471815074775
243,-202.46146266456333,-757.0982860996589
244,-204.32721889694758,-763.2404422964638
245,-206.20364520016093,-769.4186664881713
246,-208.08984403458228,-775.6306249957304
247,-209.98659696875418,-781.8801519467357
248,-211.8943127645614,-788.0428619797517
249,-213.81088843297545,-794.3304245099123
250,-215.73887884098582,-800.635620701395
251,-217.6760205616069,-806.9657053800654
252,-219.62490210064806,-813.3098400566214
253,-221.58434552024295,-819.6859930412234
254,-223.5536784666302,-826.0910714911076
255,-225.53499221188738,-832.5084039053373
256,-227.5263991414982,-838.9651932912916
257,-229.52966801658383,-845.4390848817977
258,-231.54371756085587,-851.9104798536142
259,-233.568073387339,-858.4290003115816
260,-235.605424827139,-864.981093891817
261,-237.6528180964645,-871.5464284290274
262,-239.7108329344597,-878.1454096802862
263,-241.78110703033062,-884.7690721113923
264,-243.86198899127618,-891.3983609036117
265,-245.95522744053835,-898.0714408229014
266,-248.059574083129,-904.743178757677
267,-250.1757395443908,-911.4318387750442
268,-252.30315628442779,-918.1664648935129
269,-254.44262255602996,-924.884465335929
270,-256.59412524149315,-931.6573560891838
271,-258.758221422239,-938.3818213465642
272,-260.93484054714844,-945.2108755429158
273,-263.1235466838353,-952.0509209624609
274,-265.32395314598256,-958.9181411749057
275,-267.53804315384957,-965.8053045802653
276,-269.76384613167613,-972.7307291331741
277,-272.0015202971549,-979.6469435530154
278,-274.2524867936269,-986.5936345968925
279,-276.51568173810085,-993.5162052441715
280,-278.7928117348846,-1000.5041772797008
281,-281.0819356591433,-1007.5275158983115
282,-283.3843980421665,-1014.5297384038236
283,-285.69998355478924,-1021.5549860032183
284,-288.0288735958017,-1028.62184957723
285,-290.37043000542536,-1035.7458804579644
286,-292.726301404064,-1042.856922290004
287,-295.0956241669973,-1050.0027560667995
288,-297.4786271969465,-1057.1602797926512
289,-299.87549694307535,-1064.3184421974497
290,-302.28566314515,-1071.5432958999625
291,-304.710072145026,-1078.7197693442106
292,-307.14841338892177,-1085.999080479574
293,-309.60090517676014,-1093.24373998162
294,-312.0674393664713,-1100.518161836308
295,-314.548570290263,-1107.8407731579816
296,-317.04492152370085,-1115.1285385271844
297,-319.5554041469225,-1122.4617725757346
298,-322.08193870877824,-1129.8221888333292
299,-324.6208080665092,-1137.2100806381
300,-327.1759934626598,-1144.559925072801
301,-329.74654988698666,-1151.9311011716552
302,-332.33228723092276,-1159.38766046885
303,-334.9333381029455,-1166.8495381522894
304,-337.55052659047936,-1174.3287947208275
305,-340.1822764464386,-1181.8292895891725
306,-342.8291355338294,-1189.3588933721223
307,-345.4920774525553,-1196.875265942065
308,-348.1710904585347,-1204.4137619185417
309,-350.86608205005064,-1211.9661729574784
310,-353.57666163731216,-1219.5796976702811
311,-356.30427491340635,-1227.1770548236707
312,-359.0474108219979,-1234.7873022129274
313,-361.8078635526097,-1242.402113199882
314,-364.58489832867104,-1250.0129740653974
315,-367.3776181158101,-1257.6515443726505
316,-370.18511710174937,-1265.3820579603448
317,-373.01247870161,-1273.0890424057704
318,-375.8558561195989,-1280.7981824258186
319,-378.71783455297856,-1288.468184444635
320,-381.59779638132665,-1296.1761092748145
321,-384.49494806254415,-1303.8961137704748
322,-387.4089599833758,-1311.7069706107789
323,-390.3426131106931,-1319.5209582253667
324,-393.29387684862627,-1327.314701337708
325,-396.262946226997,-1335.1096180890463
326,-399.25057008019024,-1342.9413495398128
327,-402.25606674380083,-1350.739122764169
328,-405.27973996281264,-1358.61449367183
329,-408.3228730592833,-1366.464140962718
330,-411.3848352846092,-1374.3237893453515
331,-414.4672481648778,-1382.1263536081233
332,-417.5685268659552,-1390.0407425727135
333,-420.6889628841281,-1397.944377616704
334,-423.82888176011215,-1405.8771807365847
335,-426.9872855266401,-1413.8078125081354
336,-430.1660662242332,-1421.7888087209635
337,-433.3631733749937,-1429.6932022788778
338,-436.5817256247492,-1437.6818901783636
339,-439.8198731527489,-1445.7036011512996
340,-443.0789447359734,-1453.7121657436523
341,-446.3589061615545,-1461.7918470230504
342,-449.6583344345499,-1469.7180103247574
343,-452.97999794520547,-1477.7895565585593
344,-456.3240647364049,-1485.863139749375
345,-459.68943964164856,-1493.926289378332
346,-463.07501384619826,-1501.93646130065
347,-466.48035510016587,-1510.0387803830872
348,-469.9070201210221,-1518.1199091343617
349,-473.35681094375883,-1526.2670488198582
350,-476.8300507924666,-1534.315247270144
351,-480.3252581266168,-1542.4703905613435
352,-483.84152513671194,-1550.5950452586246
353,-487.3810368343509,-1558.5922598462926
354,-490.94628392198155,-1566.7390353776648
355,-494.53107190140986,-1574.9060799224146
356,-498.1389941447067,-1583.0229843543964
357,-501.7710548932136,-1591.2107496929957
358,-505.4258635805052,-1599.3519835577658
359,-509.10521202398724,-1607.404979229635
360,-512.8092257806862,-1615.6351833997924
361,-516.537254909039,-1623.7325449553991
362,-520.2880164658677,-1631.9080803682816
363,-524.062320714093,-1640.074097052538
364,-527.862903075375,-1648.2122198046943
365,-531.6879178446774,-1656.3312155968808
366,-535.5411195824245,-1664.4363208295897
367,-539.4179836849111,-1672.5893084746233
368,-543.3188053321301,-1680.6854828046487
369,-547.2459600369107,-1688.9598398840349
370,-551.197559781109,-1697.1963662952412
371,-555.1775778903648,-1705.5893899946657
372,-559.1803705685852,-1713.8462945450838
373,-563.2107777651242,-1721.9839761174178
374,-567.2678047758818,-1730.1176655298927
375,-571.3504889487821,-1738.3091237545916
376,-575.463134454169,-1746.5847520460488
377,-579.6015850110134,-1754.6433922248914
378,-583.7670991798939,-1762.7640680313257
379,-587.9590328126319,-1770.9131134129348
380,-592.1802117871116,-1779.1679041174193
381,-596.4301233069373,-1787.2995712667275
382,-600.7074724657,-1795.5078489825223
383,-605.0139497676764,-1803.7223885160536
384,-609.3488703373368,-1811.5421878561476
385,-613.7121193678374,-1819.8092448986347
386,-618.1087721586982,-1827.948056387025
387,-622.5315878229853,-1836.0435100141049
388,-626.9870225830806,-1844.1831525568812
389,-631.4718455450586,-1852.2955913004623
390,-635.9855719084219,-1860.2832706705924
391,-640.5255500723042,-1868.4640876604528
392,-645.0990241635081,-1876.5814306723316
393,-649.7037183628709,-1884.6418153984816
394,-654.3385085509947,-1892.915971928609
395,-659.0041767939933,-1901.0667541013624
396,-663.7043863334,-1909.2050757080517
397,-668.4316883802721,-1917.0946635160208
398,-673.1962833204384,-1925.172139850988
399,-677.9877427699885,-1933.335214027812
400,-682.811848072031,-1941.2897586097863
401,-687.6687132610434,-1949.2934578031843
402,-692.5643044983799,-1957.33663180709
403,-697.4916856975826,-1965.2324363205107
404,-702.4459575085582,-1973.0718683375032
405,-707.4380027079358,-1981.209945366096
406,-712.4627440178708,-1989.2672409193403
407,-717.5285583620873,-1997.1739319895669
408,-722.6292260246255,-2005.0355208511949
409,-727.7606180310512,-2013.0873427792997
410,-732.9258284210998,-2020.9292418721184
411,-738.1240307411515,-2028.813061285515
412,-743.3528467200192,-2036.538398065115
413,-748.6225868878555,-2044.3704355186485
414,-753.930065943437,-2052.379009494593
415,-759.2737619481799,-2060.0133734561546
416,-764.6524648762587,-2067.904122585503
417,-770.0650398052557,-2075.7508900404373
418,-775.5135958513758,-2083.534237328051
419,-781.0014964090518,-2091.355441205221
420,-786.528237570352,-2099.1480891972774
421,-792.0941187092835,-2106.6750447261084
422,-797.7008786867002,-2114.310065142807
423,-803.3421970383034,-2121.9568689029297
424,-809.02054734731,-2129.4725072855367
425,-814.7419072107267,-2136.9422617849814
426,-820.4941831704955,-2144.351598341933
427,-826.2862175836224,-2152.287165198459
428,-832.123167792782,-2159.8650820405815
429,-838.0039962510059,-2167.3496474580315
430,-843.9193452106794,-2174.8823283942884
431,-849.8704892487558,-2182.0952865652466
432,-855.8705707689037,-2189.5768745578066
433,-861.9026069617587,-2196.991371671362
434,-867.9910526789482,-2204.090926413526
435,-874.1159894753287,-2211.658290284487
436,-880.2855254807267,-2218.798599682242
437,-886.4983545650091,-2225.9582520088434
438,-892.7573753830555,-2233.279464528186
439,-899.0508576964745,-2240.5541830237494
440,-905.3843076995215,-2247.7719233171447
441,-911.7685511679329,-2255.601853634993
442,-918.1912026187963,-2262.2977376632284
443,-924.6663706635437,-2269.371734999412
444,-931.1873971024551,-2276.5148527682545
445,-937.7514999367689,-2283.3657801364047
446,-944.348257921738,-2290.4000377159905
447,-950.9850925405356,-2297.1460489811416
448,-957.6879769461353,-2303.894961405323
449,-964.4278874668922,-2311.0769591801527
450,-971.2159614713744,-2317.6180779425367
451,-978.0537089220976,-2324.636531972992
452,-984.9238463088301,-2331.1133318435386
453,-991.8498039665081,-2337.8094040369583
454,-998.823165081808,-2344.2805052438366
455,-1005.8532503922415,-2350.8358785316423
456,-1012.922265148451,-2357.550679689765
457,-1020.0513313396611,-2363.6405531030923
458,-1027.22845099087,-2370.178373307056
459,-1034.454788508001,-2377.1510208612126
460,-1041.7214769931518,-2383.3847044784866
461,-1049.042825577513,-2389.471452534432
462,-1056.4062782730227,-2395.8665011115263
463,-1063.836961481063,-2401.867682714348
464,-1071.3130745243561,-2407.9791868749585
465,-1078.813953261456,-2413.9071944718094
466,-1086.3974993870024,-2420.3808643769366
467,-1094.0076849232844,-2426.2515300501664
468,-1101.693246407117,-2432.3611462010463
469,-1109.4266851483544,-2438.510074843544
470,-1117.2087544264014,-2444.4213913240837
