N,lnPi(N),U(N)
55,-191.33344910887115,-609.4540034666715
56,-187.80372054645863,-620.1791033641465
57,-184.3102670128455,-630.9917181364316
58,-180.8505743927637,-641.7613507894464
59,-177.41890840158885,-652.6451905864311
60,-174.02025301210284,-663.5130033457441
61,-170.65446899777606,-674.3272501507391
62,-167.31573510717584,-685.1839667741991
63,-164.00920472542487,-696.1244459973702
64,-160.7300512452394,-707.1241251287049
65,-157.48291462966262,-718.2264258336234
66,-154.2642971572687,-729.317385621576
67,-151.07643850630342,-740.5063362879463
68,-147.91734209761336,-751.5492699141557
69,-144.79418855327845,-762.5902943128364
70,-141.69749257366516,-773.9117461229052
71,-138.62463460385766,-785.2534301555634
72,-135.58890759767735,-796.4153189585774
73,-132.57653151358608,-807.5882675535394
74,-129.5963921968085,-818.8706478002779
75,-126.64461410803636,-830.2465143934903
76,-123.7245568618693,-841.57587782712
77,-120.8401823919715,-852.8141320770477
78,-117.98478256552602,-864.1559992104678
79,-115.15695967104085,-875.6238571730315
80,-112.35823828255246,-887.0415840316049
81,-109.58853636695875,-898.5107038961746
82,-106.85472743114764,-910.1501535058976
83,-104.15096924279823,-921.6517987093341
84,-101.4799191912818,-933.1402974576158
85,-98.83857591196727,-944.750169106958
86,-96.22765372162138,-956.6446092546554
87,-93.64245316903316,-968.6461026510337
88,-91.08786649367215,-980.3485500925117
89,-88.56967129801154,-991.9899170917203
90,-86.08865669937609,-1003.5938857828774
91,-83.62813660485733,-1015.2537238651663
92,-81.2002284615042,-1027.0137779478086
93,-78.80382712146479,-1039.1558575762851
94,-76.44075144038709,-1051.3441426107286
95,-74.10793443754233,-1063.2562596846874
96,-71.80588076196477,-1075.165854068868
97,-69.53391280112072,-1087.1955439204712
98,-67.30300265695519,-1099.0907699879906
99,-65.10854281746043,-1111.0943354359583
100,-62.94485407134919,-1123.2280097474559
101,-60.81002693623412,-1135.2712322406358
102,-58.71363032147371,-1147.360478006809
103,-56.64583555529287,-1159.5478534804981
104,-54.606498558557796,-1171.6563314578614
105,-52.60857547820091,-1183.8910659992478
106,-50.64766592836548,-1196.4061460360213
107,-48.72195440005691,-1208.8550077064897
108,-46.82514993275793,-1221.2599886228575
109,-44.96474603566258,-1233.86390256509
110,-43.138144233722635,-1246.4997592911097
111,-41.34651923673584,-1258.5259285553036
112,-39.59609981307408,-1270.7894489982914
113,-37.875548561463056,-1283.474022341015
114,-36.185573327951765,-1296.0497426904317
115,-34.53745498945823,-1308.7272964042752
116,-32.92765487996973,-1320.9743726758672
117,-31.355049211632597,-1333.7085739475813
118,-29.817512527110914,-1346.6289391181178
119,-28.319200215075902,-1359.4255126193784
120,-26.863263415280862,-1371.8650552535528
121,-25.438641387783825,-1384.6519406403154
122,-24.056054727684106,-1397.114146626108
123,-22.71149962888051,-1409.9323312750741
124,-21.40070757052137,-1422.6794691858313
125,-20.1312164789989,-1435.5206585783799
126,-18.906791349045868,-1448.4802560429819
127,-17.71766043119606,-1461.2876402310053
128,-16.56734409843198,-1474.2710792306293
129,-15.456001732191218,-1487.3740276787732
130,-14.390660941518426,-1500.4831415340693
131,-13.36988484628312,-1513.350931081962
132,-12.38964478044607,-1526.2154841641377
133,-11.444928496067,-1539.2029017871591
134,-10.542297602716523,-1552.6873962468958
135,-9.688903373456746,-1565.7787170336592
136,-8.876999995077362,-1578.3621376808521
137,-8.108984174250445,-1591.6163981265045
138,-7.3982314629427535,-1604.2473369721413
139,-6.7205741760878865,-1617.567008252603
140,-6.092578329711721,-1630.7056361663292
141,-5.511931773266774,-1644.2061880449496
142,-4.976352855286386,-1657.5209254181177
143,-4.498441264938599,-1670.8284073812379
144,-4.063253027395767,-1683.7577396788345
145,-3.664286298383324,-1697.2245825451464
146,-3.3284236644216705,-1709.850410694466
147,-3.0447635451934545,-1722.5907022073493
148,-2.81022096014231,-1735.87957527324
149,-2.6222194489955584,-1749.2323262861075
150,-2.484716499698372,-1762.768380731039
151,-2.399119763514072,-1775.9586271225046
152,-2.3703609269928094,-1788.9849759821602
153,-2.396262937711576,-1802.4781604292593
154,-2.482768981697511,-1815.9373518865418
155,-2.618098952187715,-1829.361333331546
156,-2.815941612090448,-1842.3428694061142
157,-3.066551505562579,-1855.8375140207202
158,-3.3742148868011483,-1868.7757538082874
159,-3.7458555575787997,-1881.6597644924386
160,-4.180634312451893,-1894.9995647169471
161,-4.697704521968653,-1907.8872349022442
162,-5.2542965889843956,-1921.097375816073
163,-5.899967968019318,-1934.210861028785
164,-6.604710424789566,-1946.8003410232234
165,-7.3557955885392445,-1960.2617845838427
166,-8.19363411967543,-1972.5646140275896
167,-9.111026023303104,-1985.1227139706664
168,-10.083902209845284,-1998.016216897212
169,-11.150665490899307,-2010.0808333227164
170,-12.298581311434582,-2023.0438114596648
171,-13.527612371596483,-2035.8499729624957
172,-14.816274942065654,-2048.155349656807
173,-16.200685069881835,-2059.992630385634
174,-17.67547131568835,-2071.5551156556116
175,-19.217411805039937,-2083.9704492204482
176,-20.87671807788808,-2096.1570554284476
177,-22.623974474870174,-2109.25721122275
178,-24.48564410768386,-2121.5432695715112
179,-26.44630013977126,-2132.263793133538
180,-28.493522176717413,-2142.8523046693454
181,-30.640472871203535,-2155.0308466934703
182,-32.91293729868209,-2165.5697370167013
183,-35.29151859028763,-2176.6413519417233
184,-37.736353246128594,-2186.8751095605717
185,-40.316290562278986,-2196.642105393032
186,-43.03175642314232,-2206.708735491568
187,-45.85337407942193,-2216.292336390709
188,-48.79413675090239,-2225.993204595573
189,-51.857028376707596,-2233.3365475412543
190,-55.05888011509733,-2242.384475585253
191,-58.36567768444086,-2252.4858319152067
192,-61.77669724018164,-2260.9190856071937
193,-65.32421742409423,-2269.2205588950783
194,-69.00524471399575,-2276.2301095789585
195,-72.86342167826507,-2282.104834819656
196,-76.8144954389532,-2290.2607085241657
197,-80.86263903126638,-2299.5940834982316
198,-85.07945496085364,-2304.6939032231285
