N,lnPi(N),U(N)
155,-13.83035227695057,-3243.4388054533483
156,-14.961748405305904,-3271.016581722768
157,-16.150658248514183,-3297.5340747811497
158,-17.41753652127627,-3324.63064008503
159,-18.751221014511678,-3352.013518119362
160,-20.142196379842623,-3378.6799912711067
161,-21.593668013894465,-3405.938516385875
162,-23.1111688268223,-3433.703705142223
163,-24.716085309107534,-3460.6554423105918
164,-26.40500284073132,-3487.439185905103
165,-28.188427785623098,-3515.562762005982
166,-30.025201659878938,-3543.838854297792
167,-31.955624695235365,-3571.6100818874984
168,-33.95297548584764,-3599.6651845177257
169,-36.02090277265196,-3628.6109506531066
170,-38.16530737747129,-3656.364050547025
171,-40.40083944170407,-3684.1746108925145
172,-42.73403869739726,-3710.899720021982
173,-45.14575487776877,-3736.045136307177
174,-47.6549328741411,-3763.6838461965526
175,-50.23578597370183,-3791.846258491496
176,-52.93137837040958,-3819.56099334341
177,-55.704326901616064,-3850.1937867472952
178,-58.60589765306346,-3882.126687514443
179,-61.5642079516578,-3910.9745288578342
180,-64.66050687728125,-3936.9126269759654
181,-67.90525393168781,-3964.792409425754
182,-71.24322060992023,-3992.39273042103
183,-74.68264523302307,-4023.0680781922056
184,-78.24468593601475,-4052.0502987908694
185,-81.84519408391733,-4079.105875553156
186,-85.60334093849886,-4106.849727588262
187,-89.48185829478894,-4133.2078410529575
188,-93.46213271212858,-4159.149504403984
189,-97.63139326089143,-4184.346755458908
190,-101.94329118547793,-4208.748998651841
191,-106.37396351262325,-4239.136171304512
192,-110.87111303678574,-4271.905662912439
193,-115.53471861005292,-4298.34567464859
194,-120.42663335655197,-4320.6729364492785
195,-125.42614311119766,-4343.68551174528
196,-130.59591134502435,-4374.107699859043
197,-135.82153893839032,-4401.303320595711
198,-141.2141945521195,-4426.1145487978865
199,-146.70991130136545,-4456.050184198364
200,-152.27178874221187,-4480.6182730579385
201,-158.07090866616545,-4497.937175173269
202,-164.18133022794424,-4519.602359171979
203,-170.32859464203557,-4551.097757439624
204,-176.81100754440044,-4569.505880770586
205,-183.29768108879202,-4601.5592047006285
206,-189.94589189897698,-4622.4559220323135
207,-196.74884346391946,-4644.407874680408
208,-203.69783338091818,-4669.3128201577565
209,-211.14001003306905,-4690.773167185878
