N,lnPi(N),U(N)
53,-1.3983639012522886,-84.58151083099402
54,-1.602939196052759,-87.76117222968826
55,-1.8193249655857997,-91.00839010531313
56,-2.0474615190061094,-94.30450093271511
57,-2.2871997617590454,-97.6605567622536
58,-2.5367284053328056,-101.08112293327142
59,-2.797898557909985,-104.56070782371246
60,-3.0701137016184994,-108.08291801141843
61,-3.3524067060349134,-111.67066696842187
62,-3.6444890597153403,-115.30117540217539
63,-3.9475643063010075,-118.97713819587518
64,-4.259724238391314,-122.70746570923178
65,-4.581249323649853,-126.52148908656503
66,-4.910901381317938,-130.3808065013824
67,-5.250108080631407,-134.28881997711156
68,-5.597789918777658,-138.2513032665353
69,-5.9550577980717465,-142.2709882586603
70,-6.320465501330323,-146.3387756762732
71,-6.694078218261365,-150.47714611054445
72,-7.0757345781571805,-154.6618784521612
73,-7.465903306454233,-158.89125392398486
74,-7.863742101342287,-163.19145140759733
75,-8.268778134397216,-167.55083246454143
76,-8.682108322826696,-171.9699262693384
77,-9.101512027135538,-176.4341950717826
78,-9.529243978049166,-180.93335316623646
79,-9.96371502257507,-185.48025527741981
80,-10.404058276416784,-190.08951165029112
81,-10.851826246008098,-194.74495308100887
82,-11.307661308069115,-199.46353590999
83,-11.769547174342694,-204.21484571875314
84,-12.238524950542487,-209.00792107037782
85,-12.714633064643284,-213.8689933314779
86,-13.19439551902337,-218.78488000005754
87,-13.682541014435756,-223.75954944975865
88,-14.176096337810765,-228.7728753195053
89,-14.67649798817893,-233.8344766755813
90,-15.182730705719528,-238.9760859233459
91,-15.693262993156715,-244.1596878127647
92,-16.209477780468678,-249.39226541101687
93,-16.7317894046097,-254.64958802062958
94,-17.260052757652385,-259.9801791680875
95,-17.79404669493075,-265.32273994862317
96,-18.334005277306826,-270.7519705054965
97,-18.87925702241299,-276.25260803206993
98,-19.429919497881528,-281.79462294913077
99,-19.983970964691565,-287.37591693725074
100,-20.54393483223504,-293.0308112606645
101,-21.108351754693185,-298.73880269421073
102,-21.677778497710786,-304.43431717762854
103,-22.253941323165055,-310.2220235143179
104,-22.83343307266619,-316.07034677556135
105,-23.41886384982391,-321.9688721863299
106,-24.00741146117543,-327.9197725630223
107,-24.6009417567617,-333.91207459309936
108,-25.199063844812365,-339.9614309731998
109,-25.801100092316133,-346.05731666738455
110,-26.407627671888644,-352.2023488941758
111,-27.01867530130587,-358.4192365222788
112,-27.634362361849213,-364.69324028811553
113,-28.255081984592067,-370.99195233001785
114,-28.879330327511173,-377.3431484157767
115,-29.507833319898015,-383.7103736725694
116,-30.140708991871723,-390.1447692109962
117,-30.778346630484894,-396.6489058515615
118,-31.420240016969334,-403.17718597397146
119,-32.066030680984966,-409.7264702477161
120,-32.71616580223388,-416.36929529190604
121,-33.37119209712191,-423.021929593168
122,-34.02809244996245,-429.7453086293383
123,-34.69038608592661,-436.57347877438474
124,-35.35634796398693,-443.39230375052387
125,-36.026648294130474,-450.27584699604756
126,-36.699715845163155,-457.2088816130339
127,-37.37640063058132,-464.23295025612333
128,-38.05709380186303,-471.2943963044665
129,-38.740699354346305,-478.3889327217974
130,-39.429273641865144,-485.46988686715076
131,-40.119971548985184,-492.63573206443283
132,-40.815353207322104,-499.93276618261035
133,-41.512395531381145,-507.22004750206196
134,-42.21617043533148,-514.5274968715413
135,-42.92224401185628,-521.86247767781
136,-43.632598248438796,-529.197410308739
137,-44.34698188056887,-536.6474598353826
138,-45.06236935917015,-544.1723439314076
139,-45.78342656424748,-551.7280422680739
140,-46.50824589942939,-559.3312495307779
141,-47.23549706879228,-566.9639971295469
142,-47.9662036748833,-574.6728742163176
143,-48.70106396076787,-582.3832344712032
144,-49.43836771383471,-590.1672845885192
145,-50.17913704510029,-598.0476733975102
146,-50.92323760788129,-605.9379116878016
147,-51.671032372712,-613.8858098803571
148,-52.42269144753524,-621.8365665076905
149,-53.17700808802351,-629.8904766277814
150,-53.93454843300819,-638.0116062920347
151,-54.69508552502444,-646.1862974454726
152,-55.45866428076616,-654.406899938352
153,-56.225395005758706,-662.66974892928
154,-56.99551988445166,-670.9347478168092
155,-57.769466187404326,-679.2626609941626
156,-58.54815118321649,-687.6750893816072
157,-59.32855157155524,-696.118587793798
158,-60.11270064469859,-704.6138743724498
159,-60.89913986797254,-713.1634635470391
160,-61.68879951514444,-721.7198208071683
161,-62.4824186186421,-730.3268086063224
162,-63.27867535676306,-738.992019049546
163,-64.07867005381989,-747.6881300990514
164,-64.8812826187674,-756.4274393385888
165,-65.6879835450462,-765.2654869257152
166,-66.49887661465937,-774.1467653216117
167,-67.3107741608088,-783.0920738856779
168,-68.12688120366744,-792.072235678729
169,-68.94657466323306,-801.0660483037135
170,-69.76879908095371,-810.1370144933285
171,-70.5943386958643,-819.2562208142198
172,-71.42267993141198,-828.4346311290328
173,-72.25441658216494,-837.6777921879831
174,-73.09056952545669,-846.9046536343633
175,-73.92934555996234,-856.2537509096466
176,-74.77169735736553,-865.661086273449
177,-75.6171344427621,-875.0854496155109
178,-76.46500145785724,-884.5810077607489
179,-77.31621926529226,-894.1371659908768
180,-78.17185340569426,-903.7049955259005
181,-79.02941436528747,-913.3691234356188
182,-79.89107645243145,-923.0668574861852
183,-80.75460633940651,-932.7788646906447
184,-81.6233098116679,-942.0719366660531
185,-82.49623980430026,-951.8766201103483
186,-83.37109476002652,-961.735233172351
187,-84.24976580866222,-971.6455410401101
188,-85.12969870754874,-981.6198470996638
189,-86.01648485014803,-991.6288168529862
190,-86.90581150286675,-1001.7322608755177
191,-87.7980900947082,-1011.8648983155942
192,-88.69501870961024,-1022.0260015527567
193,-89.5942589187586,-1032.2645699687562
194,-90.49669331184273,-1042.4941998723634
195,-91.4025109391369,-1052.8273605370098
196,-92.31022888042847,-1063.1794530385127
197,-93.22289323156308,-1073.6043754653226
198,-94.13943885504015,-1084.0964670110543
199,-95.05802899747786,-1094.6250188709614
200,-95.98161698885966,-1105.2452262922648
201,-96.90803054185176,-1115.870911828434
202,-97.83745328111839,-1126.5815061076216
203,-98.77205175310469,-1137.3004288392742
204,-99.70891528345831,-1148.046439112527
205,-100.64956379863763,-1158.7906954203286
206,-101.59284102614482,-1169.7326290716192
207,-102.54157734250443,-1180.7124236336754
208,-103.49315629771607,-1191.7264742101
209,-104.44947038174743,-1202.7263824213994
210,-105.40743441366877,-1213.7846320079557
211,-106.37076938439611,-1224.9850990459952
212,-107.33869160273231,-1236.1536365254258
213,-108.30934580109181,-1247.4275275763794
214,-109.28369703125743,-1258.7725518731827
215,-110.26192300161148,-1270.143926814742
216,-111.24399027081675,-1281.4995492492292
217,-112.23119848818943,-1292.9670346497387
218,-113.22184737148095,-1304.4952016226978
219,-114.21617404944777,-1316.093149002102
220,-115.21461120554595,-1327.7764466843123
221,-116.21766742577144,-1339.4552899605542
222,-117.22560466577526,-1351.2426412808074
223,-118.23640789746212,-1363.0608631015746
224,-119.25285332043725,-1374.8809024146474
225,-120.27306609779059,-1386.7224166897697
226,-121.29660267532415,-1398.7040164997711
227,-122.32354496248232,-1410.7429907644137
228,-123.35525501319711,-1422.8855376694285
229,-124.39166726798635,-1435.0020734158159
