N,lnPi(N),U(N)
95,-165.2216683926864,-64.53721800884205
96,-163.2754943183799,-65.91311994753816
97,-161.34308217930982,-67.2895456437779
98,-159.42276106006557,-68.69243296815047
99,-157.51560052203206,-70.10056664006211
100,-155.62113040247877,-71.53096639434922
101,-153.7400447947574,-72.98300503003162
102,-151.8718905610798,-74.43257977364817
103,-150.01628337095178,-75.90463396048378
104,-148.1745503410956,-77.39231666565891
105,-146.34502721034863,-78.88779363486513
106,-144.52760649061108,-80.40432091576733
107,-142.72342325041961,-81.92925803386119
108,-140.93152490429003,-83.47186200785666
109,-139.15272133177717,-85.02529190945738
110,-137.38564079999884,-86.58150999859052
111,-135.63135211506182,-88.15778140039919
112,-133.88862232072017,-89.75801496052246
113,-132.1579176571562,-91.37351948422172
114,-130.4411482479266,-92.98248126317864
115,-128.73474409645263,-94.61757886305433
116,-127.03971146221699,-96.27280589020121
117,-125.35761579731621,-97.93502025334955
118,-123.68755797725794,-99.62112521002858
119,-122.03016795882627,-101.31479323233073
120,-120.38444139225248,-103.02900651436165
121,-118.74996603126702,-104.75220782910161
122,-117.12671302076478,-106.49427654818989
123,-115.51562128520033,-108.25174971603977
124,-113.91629583877284,-110.02120484989425
125,-112.32827303826987,-111.79990904940553
126,-110.7531366596819,-113.59203563837161
127,-109.18778007661466,-115.39633280846867
128,-107.63508832063883,-117.2142657120477
129,-106.09376859499126,-119.04454146430865
130,-104.56244862372222,-120.90564557685276
131,-103.04165064793766,-122.78799585985497
132,-101.53529652058786,-124.66421908192797
133,-100.03867557987735,-126.56910512261065
134,-98.55270065865358,-128.4826135093298
135,-97.07940197060186,-130.40908334281502
136,-95.61759748696257,-132.33956481918602
137,-94.16639464116969,-134.28823102541384
138,-92.72736305856851,-136.24399601115158
139,-91.29915319258703,-138.22618644766266
140,-89.8823336656457,-140.22504190917107
141,-88.47626213673158,-142.24036873791857
142,-87.08079901207057,-144.26732551697125
143,-85.69656180719983,-146.30624860702167
144,-84.32345721142264,-148.34487229861944
145,-82.9628017059461,-150.40389824222498
146,-81.61151149767636,-152.48598057610127
147,-80.27123833312612,-154.6013931742625
148,-78.94243107571543,-156.68930883861793
149,-77.62511837304783,-158.80471247489004
150,-76.31771337903763,-160.94036163329875
151,-75.02154507491996,-163.0956515117039
152,-73.73538329787925,-165.26123497160663
153,-72.46078543146905,-167.44637067395428
154,-71.19764526559692,-169.6300194983542
155,-69.94403812286917,-171.8408763693694
156,-68.70146734070238,-174.07481615447156
157,-67.47079224126867,-176.2933212642982
158,-66.25238800932078,-178.55241641055574
159,-65.04310203002336,-180.81705160745284
160,-63.84406577836773,-183.0985167970708
161,-62.65688340559307,-185.40282178846704
162,-61.47920644745033,-187.67000611798497
163,-60.31324434987692,-189.99856537711005
164,-59.15928367394815,-192.33260128112562
165,-58.015681269650656,-194.6719976153332
166,-56.88325422740178,-197.0285854610119
167,-55.76134283699599,-199.3936138035805
168,-54.64982139056331,-201.81321344628546
169,-53.54959665713982,-204.20132275560917
170,-52.46095778388462,-206.61331798534252
171,-51.38270115770114,-209.04656473307472
172,-50.31499401745999,-211.50295797326953
173,-49.25683207917434,-213.95412709240182
174,-48.209399356969186,-216.44140492073237
175,-47.172474134393156,-218.91561960059124
176,-46.14824459559703,-221.4223909283393
177,-45.13411823923042,-223.9231022762594
178,-44.13192093659966,-226.44352783173724
179,-43.140134973810746,-228.98953670441009
180,-42.15853298451236,-231.54385503703716
181,-41.18806403741132,-234.0939300160056
182,-40.228925840478944,-236.6746419832585
183,-39.28038745111263,-239.25889282471016
184,-38.3418256197097,-241.88522022920424
185,-37.41490566652994,-244.50757772440352
186,-36.49871406210531,-247.16659741273384
187,-35.593194327079686,-249.8184146603903
188,-34.69726335410144,-252.49897130247572
189,-33.81311241325027,-255.17877776596384
190,-32.940911790219275,-257.88293986266063
191,-32.07868993300594,-260.5832183613288
192,-31.228439307607573,-263.28717715050226
193,-30.38858818059481,-266.0088133874767
194,-29.559303210288476,-268.7646780641797
195,-28.741815255090273,-271.52735362978603
196,-27.935263345833448,-274.33042284030347
197,-27.138871311567527,-277.1150576442391
198,-26.35392860687403,-279.902489896201
199,-25.579241244212024,-282.7076002937315
200,-24.816734782213306,-285.53449193861644
201,-24.06510791144035,-288.3760057279324
202,-23.32314859057982,-291.23733690440616
203,-22.594407543660108,-294.0975929520827
204,-21.875491651342884,-296.9617684216301
205,-21.167870948431357,-299.86910116707423
206,-20.470982804961697,-302.81002167170135
207,-19.78621430012697,-305.7485448932015
208,-19.111776388704467,-308.6690427185679
209,-18.44851351007702,-311.61619332772983
210,-17.796293705806363,-314.5608339400269
211,-17.155615312466413,-317.54237888362655
212,-16.52532375371203,-320.5511717820681
213,-15.907166690988504,-323.57891130962577
214,-15.300924707527088,-326.5338446235209
215,-14.70570061722384,-329.5737026579638
216,-14.122261778078666,-332.6161367572768
217,-13.549956542721588,-335.6818724244316
218,-12.988751773118395,-338.7436384620967
219,-12.439186786876235,-341.81449396812764
220,-11.901909503172249,-344.90327387866483
221,-11.375504843093381,-348.0096308817752
222,-10.860103199991784,-351.13028270601467
223,-10.355031502256397,-354.25936532330763
224,-9.862700821425733,-357.3909501937473
225,-9.38249576355389,-360.56408043006
226,-8.91335066946982,-363.74354720016083
227,-8.456800024460165,-366.9303017097664
228,-8.011353467039385,-370.1216652852767
229,-7.577880712893377,-373.36141029991643
230,-7.155347194613398,-376.5892993305808
231,-6.743931770216365,-379.8206084243462
232,-6.344120840452263,-383.0477430954811
233,-5.956303119139761,-386.31313087884706
234,-5.580668497971772,-389.6015001039565
235,-5.217170839547748,-392.879118738319
236,-4.865453959875028,-396.1856821779563
237,-4.5258148122682655,-399.5126124893034
238,-4.199523326107396,-402.8502204086507
239,-3.8840427679117524,-406.2079101052739
240,-3.5803801596751446,-409.5511488362801
241,-3.2894156806938786,-412.90958109432376
242,-3.009075840394018,-416.28378927113425
243,-2.741247968404821,-419.6566299875775
244,-2.484431164822525,-423.0774861201378
245,-2.242017572835039,-426.4639730558947
246,-2.01173009816381,-429.8676635386246
247,-1.7928307894572417,-433.3177666743729
248,-1.5868628642380718,-436.7494366151936
249,-1.391921608849032,-440.20632553046033
250,-1.2104638719658287,-443.6912996968752
251,-1.0413100708882452,-447.1506053925684
252,-0.8848930560046138,-450.6599771693468
253,-0.741335923247163,-454.18169457128215
254,-0.610507987021208,-457.70473244519286
255,-0.49278786668139674,-461.21586216410896
256,-0.38781147329552823,-464.7657875579808
257,-0.2946600821883294,-468.33198560564017
258,-0.21557421401797683,-471.8857225863402
259,-0.14700709756118613,-475.4507328724652
260,-0.09236708704719376,-479.0407689287044
261,-0.0504891132436005,-482.6163158707633
262,-0.02030258120640882,-486.20706381871753
263,-0.0039967512005318895,-489.85513950461177
264,0.0,-493.52152978484014
265,-0.00872619165403421,-497.1727097183447
266,-0.03074250357275332,-500.811651091824
267,-0.06692068223202341,-504.4635866501207
268,-0.11625317958709047,-508.15385686995944
269,-0.17769551035763698,-511.8197117829694
270,-0.25398802263481457,-515.5173087331543
271,-0.3444181566073894,-519.2426813592562
272,-0.44721251612486457,-522.9314407341925
273,-0.5632383099646177,-526.6258940309158
274,-0.6923429666410352,-530.3548376179285
275,-0.836855561671769,-534.1175125393421
276,-0.9929956511211349,-537.8831173415696
277,-1.1612987567366422,-541.6405438314592
278,-1.3436371903457043,-545.4452145011853
279,-1.541104834466466,-549.2361908776876
280,-1.750769844037848,-553.0178383383513
281,-1.9755189167985931,-556.849813672897
282,-2.213330087619511,-560.7354846741939
283,-2.465310983373229,-564.5885850309464
284,-2.7322141747536643,-568.4530402502189
285,-3.0117938440179732,-572.2927808677173
286,-3.304730134365571,-576.1290446977739
287,-3.6126722916683325,-580.0316333630528
288,-3.93620305366261,-583.9057198664757
289,-4.273065077371486,-587.780528277905
290,-4.625149165343544,-591.6621210955383
291,-4.990049480986611,-595.5602773366116
292,-5.369916528684939,-599.487990502214
293,-5.767214151746259,-603.4032904881813
294,-6.177494094853218,-607.3583644865179
295,-6.6035847175933196,-611.3287814450058
296,-7.041757381770653,-615.2596555415435
297,-7.494772629449301,-619.1891609905114
298,-7.964354985095385,-623.1836701012987
299,-8.449468098594252,-627.1746945208547
300,-8.947900063461873,-631.1813807957342
301,-9.460701149932504,-635.2137007230673
302,-9.98941401027082,-639.2340986432104
303,-10.53362837800114,-643.2396304540946
304,-11.093269975488056,-647.2541436044522
305,-11.667661792443708,-651.2904992983144
306,-12.256996238596685,-655.3565387100994
307,-12.863480156273168,-659.4005861303654
308,-13.482590270014725,-663.4565695895499
309,-14.119132340955446,-667.5414703004143
310,-14.771372641640312,-671.5819492736018
311,-15.440180710908805,-675.700710426093
312,-16.124029997003447,-679.8031949449072
313,-16.822668946563965,-683.8803018126646
314,-17.536117615047488,-687.9630292983148
315,-18.26700545770927,-692.1269556851453
316,-19.01256730475916,-696.2656055793802
317,-19.77478697707312,-700.3945171302295
318,-20.554887187149976,-704.4937437974828
319,-21.351053309071744,-708.5964975586201
320,-22.16270439442763,-712.7359351878804
321,-22.99051656488666,-716.9213138775293
322,-23.835034149819023,-721.1204734961452
323,-24.69736898141315,-725.2743652699509
324,-25.574624939729404,-729.4384611403216
325,-26.46786370199015,-733.5593102855657
326,-27.37597959697814,-737.7914518706758
327,-28.303846737961692,-741.9136526403375
328,-29.24812166333595,-746.1132055465666
329,-30.20946851299226,-750.3500872495654
330,-31.187701951789904,-754.5181529942143
331,-32.18423031228815,-758.7204343632105
332,-33.19608003128434,-762.9476145848819
333,-34.226280168275196,-767.1118859333577
334,-35.27423956823344,-771.3392162981467
335,-36.3417991258961,-775.5401490070124
336,-37.425584864742916,-779.7561729425393
337,-38.52675375380352,-784.0107015897494
338,-39.64812239781162,-788.2625342241819
339,-40.785848465554864,-792.4672951935058
340,-41.94034212060433,-796.7373219688236
341,-43.114155971966454,-801.070271263873
342,-44.302866999875164,-805.315786208288
343,-45.5107534327043,-809.6689457046558
344,-46.73689306362451,-813.9738533865337
345,-47.982549962993794,-818.2655153221758
346,-49.24633442967189,-822.6021643524704
347,-50.53017269641982,-826.9218399602568
348,-51.8320837144787,-831.1497428972342
349,-53.1496043180731,-835.3991945867799
350,-54.4883029755336,-839.654807337489
351,-55.84485876136267,-843.8871412407489
352,-57.22045837903431,-848.2229741651875
353,-58.61332340345655,-852.284770639057
354,-60.026807546168016,-856.5880714814343
355,-61.46062210157452,-860.7731552384944
356,-62.91286507929828,-865.0121851799046
357,-64.38555622327328,-869.3575215725685
358,-65.87861621516839,-873.6690071834524
359,-67.39068572653099,-878.0084030717948
360,-68.92072520466019,-882.4157516698973
361,-70.47218214037798,-886.7432635832278
362,-72.04371748310245,-890.9835289822882
363,-73.63378929558517,-895.4042705851626
364,-75.24609057773792,-899.6162546693305
365,-76.87538705230907,-903.9371021228178
366,-78.52635514000524,-908.179854531527
367,-80.19979809218125,-912.4610373073276
368,-81.89203357765024,-916.7768041030108
369,-83.60235741696061,-921.0809681404342
370,-85.33807586618815,-925.4499754373369
371,-87.0909316591407,-929.7712056801263
372,-88.86620815001498,-934.2208777249547
373,-90.66539877087007,-938.4004899336703
374,-92.48269732860922,-942.6799594457375
375,-94.32290817267739,-946.845109101598
376,-96.18626753248111,-951.074854253886
377,-98.06949779486763,-955.3915280423593
378,-99.97297332067099,-959.7170275978489
379,-101.89989708288829,-964.0574274323398
380,-103.84675730145734,-968.4607761257433
381,-105.81411013623608,-972.7420778088853
382,-107.80330857960263,-977.092533209929
383,-109.81669474887703,-981.36616586451
384,-111.85361269110592,-985.6859448805033
385,-113.90964774479193,-989.9208523831256
386,-115.99033460197207,-994.208557467467
387,-118.09226970599515,-998.5928835386745
388,-120.21786806556003,-1002.9408360297537
389,-122.3670107464988,-1007.1212758941284
390,-124.53861242155666,-1010.9773085137629
391,-126.73532725413233,-1015.2378500632481
392,-128.95324527528464,-1019.584505194846
393,-131.19414682533449,-1023.8899870773436
394,-133.45855406779702,-1028.0739250313015
